TSNE1,TSNE2,cluster,Provinsi
45.712616,-4.651025,0,Kepulauan Riau
41.41366,-8.416776,0,Lampung
50.382748,2.3292673,3,Maluku
44.66595,-6.3464856,0,Maluku Utara
48.600674,-2.0681887,0,Nusa Tenggara Barat
47.605785,0.13813704,3,Nusa Tenggara Timur
45.741966,0.20448405,0,Papua
50.927773,1.8174359,3,Papua Barat
47.29955,0.8846076,3,Papua Barat Daya
49.457253,3.3896005,3,Papua Pegunungan
44.967484,1.201354,0,Papua Selatan
41.680305,-11.005104,2,Papua Tengah
49.205784,-5.8174543,0,Riau
44.40262,-2.5995796,0,Sulawesi Barat
44.757935,-5.059289,0,Sulawesi Selatan
49.42034,-0.38213935,3,Sulawesi Tengah
46.494377,-5.419042,0,Sulawesi Tenggara
48.15686,-4.272172,0,Sulawesi Utara
43.96947,-4.331737,0,Sumatera Barat
47.868298,-4.840053,0,Sumatera Selatan
42.81125,-7.7138395,0,Sumatera Utara
18.163692,12.7857485,0,Aceh
14.608798,12.26821,2,Bali
21.780632,11.861704,3,Banten
16.659798,1.4233339,0,Bengkulu
34.761112,-3.081333,1,DKI Jakarta
22.18154,1.8531691,0,Daerah Istimewa Yogyakarta
16.028347,12.170226,0,Gorontalo
18.992668,9.162052,0,Jambi
23.907278,3.2273648,1,Jawa Barat
24.119902,3.9510744,1,Jawa Tengah
21.978506,4.816398,0,Jawa Timur
18.246172,5.3831363,0,Kalimantan Barat
20.869406,5.879375,0,Kalimantan Selatan
18.856632,7.6677237,0,Kalimantan Tengah
21.099098,4.7091513,0,Kalimantan Timur
20.401354,3.1545217,0,Kalimantan Utara
22.837896,6.456922,0,Kepulauan Bangka Belitung
20.523617,7.6365337,0,Kepulauan Riau
25.267483,6.3713984,1,Lampung
19.815397,13.98534,3,Maluku
16.88144,9.213937,0,Maluku Utara
20.676826,11.146564,0,Nusa Tenggara Barat
18.174519,12.460312,0,Nusa Tenggara Timur
18.529621,14.116395,3,Papua
21.325298,13.993156,3,Papua Barat
15.666251,6.403766,0,Papua Barat Daya
20.253637,15.674287,3,Papua Pegunungan
17.435726,14.246447,0,Papua Selatan
13.930646,12.337809,2,Papua Tengah
24.01319,6.61758,0,Riau
15.021512,5.924187,0,Sulawesi Barat
18.684864,8.474271,0,Sulawesi Selatan
16.062128,1.2496482,0,Sulawesi Tengah
16.86544,7.1205025,0,Sulawesi Tenggara
20.051033,8.028621,0,Sulawesi Utara
19.84894,4.4234405,0,Sumatera Barat
18.149927,2.2554538,0,Sumatera Selatan
19.339563,6.1328034,0,Sumatera Utara
