PC1,PC2,PC3,cluster,Provinsi
0.8983145881438759,-0.1782910916469831,-0.1221903936078016,0,Jambi
0.9007720641493506,-0.28338318919481154,-0.2997707539884281,1,Jawa Barat
0.9039508800897238,-0.14591218305597664,-0.088038718499175,0,Jawa Tengah
0.9003132697091587,-0.32244779826991277,-0.06329828834405793,0,Jawa Timur
0.9087718849236808,-0.08469655780741903,-0.009777663066744213,0,Kalimantan Barat
0.9045635194472652,-0.2373120023336064,-0.03185907093799767,0,Kalimantan Selatan
0.9062560461654812,0.009708576355222931,0.01810196310521961,0,Kalimantan Tengah
0.9010546431973125,-0.3124989690315765,0.06646669887790069,0,Kalimantan Timur
0.9029075808016387,-0.062206211643779596,-0.04909019966116701,0,Kalimantan Utara
0.9049724148228506,0.027896255539864967,-0.040247847429796035,0,Kepulauan Bangka Belitung
0.9065659245334245,-0.05983188855998378,0.003455305022796562,0,Kepulauan Riau
0.9050532982053028,-0.16123353470780444,0.07575247441150912,0,Lampung
0.9071837750741452,0.12058762630522324,-0.06510076807614495,0,Maluku
0.9030371050378108,-0.05363378038790856,0.14364577664210387,0,Maluku Utara
0.9053079403768152,0.0006588618963654369,-0.18678487401150412,0,Nusa Tenggara Barat
0.9093061258552098,0.24648177026467266,0.0597510564964423,0,Nusa Tenggara Timur
0.9133475432022351,0.4607199665613173,-0.16496764655130491,3,Papua
0.9179415895584953,0.7025309841325083,-0.18999701032255478,3,Papua Barat
0.9149167540504095,0.5841509162564975,0.07084522009079641,3,Papua Barat Daya
0.9201973141198323,0.976848691454709,-0.3567800486799745,3,Papua Pegunungan
0.9179245490643098,0.5942018149868638,-0.09435786518250777,3,Papua Selatan
0.9053003219407856,0.14453614372635926,0.7969967711970062,2,Papua Tengah
0.9078599682811728,0.16662671948806462,0.03408108967324319,0,Riau
0.9042166520694082,-0.14545783896863185,0.08273945479651523,0,Sulawesi Barat
0.9036798775548505,-0.07546317002999459,0.08849402793201322,0,Sulawesi Selatan
0.9070426075986688,0.19462984067585154,0.06983803982594228,0,Sulawesi Tengah
0.9064374703555131,-0.051813497663395935,0.04256732813132713,0,Sulawesi Tenggara
0.9051179796645101,0.045712121329902544,-0.013993100325178198,0,Sulawesi Utara
0.9031699113918421,-0.2177236253580901,0.07363974753700342,0,Sumatera Barat
0.9048512446838686,-0.10702852759261106,-0.04302803164019031,0,Sumatera Selatan
0.9050422773361788,0.21337466439248232,0.02776465092906566,0,Sumatera Utara
1.910032882987025,0.2115258012735275,0.06264344807058841,0,Aceh
1.9002425990654501,-0.10556236210433667,0.4590256650712794,2,Bali
1.8976132694467651,-0.5500821343622562,-0.4802696341787386,1,Banten
1.9000024768558887,-0.37895004321901027,0.043793279293887544,0,Bengkulu
1.9026327535195833,-0.5173153890409878,-0.4414979934468498,1,DKI Jakarta
1.9017746138169969,-0.4395140639436548,-0.27539887210905956,1,Daerah Istimewa Yogyakarta
1.909628178658295,0.35071882757700124,0.2137188794300915,3,Gorontalo
1.9030792404021213,-0.13654209567143738,-0.014513035048730138,0,Jambi
1.899135212703868,-0.2779815760183162,-0.23424610016107772,1,Jawa Barat
1.9022638333815394,-0.18462861824588472,-0.08037204491420791,0,Jawa Tengah
1.9008432360574261,-0.2826139445350151,0.01095233169183596,0,Jawa Timur
1.9090258897858803,-0.09686178087576636,-0.028507923948662417,0,Kalimantan Barat
1.9063344388207497,-0.18239370007480105,-0.003299313439034557,0,Kalimantan Selatan
1.9072293072129014,0.022896103961333125,-0.01051130662655586,0,Kalimantan Tengah
1.9021665953414413,-0.2873635911616752,0.049617904298743354,0,Kalimantan Timur
1.9025640825600476,-0.0790036247522039,-0.053583426178475446,0,Kalimantan Utara
1.907088885597659,0.08633819422000144,0.014673200021060984,0,Kepulauan Bangka Belitung
1.905664082192743,-0.10811949499174034,-0.010269087152712908,0,Kepulauan Riau
1.9044707599146022,-0.12484366433601224,0.153700232439257,0,Lampung
1.9152723814136152,0.6689264514109148,-0.16276729523790257,3,Maluku
1.90269696081873,-0.06835819863207249,0.14346604615279557,0,Maluku Utara
1.9076029292129988,0.14864100111275746,-0.03049634060397244,0,Nusa Tenggara Barat
1.9108881298311644,0.29256629664990186,0.10166502930872612,3,Nusa Tenggara Timur
1.9126750230218477,0.18120902774722225,-0.05921719806274095,0,Papua
1.91452131016149,0.3904982369717196,-0.3192634020615398,3,Papua Barat
1.911348001848637,0.3522013683341605,0.036297832381051776,3,Papua Barat Daya
1.9198571699007516,0.9621242732105451,-0.3569597791692828,3,Papua Pegunungan
1.9177005555422966,0.27357679200669693,0.0630237545122665,0,Papua Selatan
1.904960177721705,0.12981172548219533,0.7968170407076978,2,Papua Tengah
1.901219499793342,-0.03276919308574833,0.028235151677677095,0,Riau
1.9046865450952737,-0.0897709748399933,0.04551589669928646,0,Sulawesi Barat
1.9039729309456561,-0.07756914963943728,0.0671762449135005,0,Sulawesi Selatan
1.9076601949193446,0.32071459812387104,0.05058830658028268,3,Sulawesi Tengah
1.903146850015446,-0.08671655669439815,0.05331641875186277,0,Sulawesi Tenggara
1.9057856076460666,0.0877788106666344,0.02609114641425503,0,Sulawesi Utara
1.9051488753950707,-0.12830776192350868,0.1021272243389405,0,Sumatera Barat
1.9042940370482029,0.028386789325306694,0.056817719591132465,0,Sumatera Selatan
1.9016512912141934,-0.13185535544358018,0.21745376847592646,0,Sumatera Utara
2.9081984534670937,0.12382342263131108,0.08194286223319502,0,Aceh
2.90303643041716,-0.06946071899871953,0.4558019668522394,2,Bali
2.9041292018384866,0.48735914328486984,-0.9059836315361415,3,Banten
2.9138622498242057,-0.013821681572135702,-0.004426676452894629,0,Bengkulu
2.902275156387759,-0.5425868967711196,-0.46055063442473,1,DKI Jakarta
2.904975825878182,-0.36288198570752783,-0.10802790371794901,0,Daerah Istimewa Yogyakarta
2.905908844009673,0.0026031061352718154,0.316115050584376,0,Gorontalo
2.903188251828169,-0.024336712518007175,0.020385061146094174,0,Jambi
2.9000368989866274,-0.2774784152952172,-0.14152211607834897,1,Jawa Barat
2.9010755009887816,-0.4536950097911614,-0.19614588890925566,1,Jawa Tengah
2.9018291553195468,-0.30423713378007733,0.028001487661767244,0,Jawa Timur
2.906557916491465,-0.06532105008466971,-0.034799645209711016,0,Kalimantan Barat
2.902706448464869,-0.17373797066385777,-0.0007067145992110113,0,Kalimantan Selatan
2.9039214343556523,-0.0870132387282112,-0.054957685450566784,0,Kalimantan Tengah
2.901816062271564,-0.27130219489923135,0.08190940175736872,0,Kalimantan Timur
2.901434200996391,-0.3373177164546881,0.15276555854371376,0,Kalimantan Utara
2.9026431858467276,-0.23633283410107353,0.06020464182295249,0,Kepulauan Bangka Belitung
2.906828355774678,-0.026412106085448528,-0.002143764562701156,0,Kepulauan Riau
2.904265557389408,-0.3348262429785507,-0.08851535123129972,1,Lampung
2.909352125422629,0.3461183313282987,-0.08721380316861171,3,Maluku
2.902356816599422,-0.08308261687623286,0.14328631566348704,0,Maluku Utara
2.9067760756013286,0.07882408479366276,-0.10890096075173494,0,Nusa Tenggara Barat
2.907890675886165,0.1552742528650093,0.1032421795326477,0,Nusa Tenggara Timur
2.9080046637366195,0.26563858809235796,0.04901544377714173,3,Papua
2.9141588719019182,0.37946413563942727,-0.3094949506692767,3,Papua Barat
2.9045039785391964,-0.11338288348698455,-0.06354004948590886,0,Papua Barat Daya
2.9195170256814436,0.9473998549663811,-0.3571395096585913,3,Papua Pegunungan
2.9118630526675133,0.1903243538271333,0.08977922835439511,0,Papua Selatan
2.904620033502397,0.11508730723803495,0.7966373102183893,2,Papua Tengah
2.9014251050368784,-0.14236495614917288,-0.09336651509658256,0,Riau
2.9035363636310194,-0.17490667545695615,0.08237999381789829,0,Sulawesi Barat
2.9026812781266926,-0.06702510628308644,0.04111259780899412,0,Sulawesi Selatan
2.917176272113693,0.26574927353411226,0.24539787094666832,0,Sulawesi Tengah
2.9028582280070623,-0.10203851143357312,0.0614385801271764,0,Sulawesi Tenggara
2.906403654535552,-0.016615340250169197,0.00012547440011434485,0,Sulawesi Utara
2.905492392573933,-0.15080675698388646,0.05967757738584056,0,Sumatera Barat
2.9102426741806084,-0.17528280986861589,0.09060875099854337,0,Sumatera Selatan
2.9047957729799236,-0.05821831426486668,0.053016716223878935,0,Sumatera Utara
