T,run,seed,n_iter,final_objective,boundary_ratio,lower_ratio,max_cluster_ratio,is_imbalanced
0.09,2,44,46,45.373247586269756,0.10236220472440945,0.8976377952755905,0.7125984251968503,False
0.09,3,45,21,49.48491554218911,0.09055118110236221,0.9094488188976378,0.7677165354330708,False
0.09,4,46,15,45.726756113981736,0.2559055118110236,0.7440944881889764,0.5551181102362205,False
0.09,5,47,18,48.250404021068704,0.15354330708661418,0.8464566929133859,0.7125984251968503,False
0.09,6,48,16,45.37324758627313,0.10236220472440945,0.8976377952755905,0.7125984251968503,False
0.09,7,49,17,43.96565657580589,0.16141732283464566,0.8385826771653543,0.6653543307086615,False
0.09,8,50,17,43.96565657580633,0.16141732283464566,0.8385826771653543,0.6653543307086615,False
0.09,9,51,19,43.96565657579039,0.16141732283464566,0.8385826771653543,0.6653543307086615,False
0.09,10,52,14,51.81580265356461,0.09448818897637795,0.905511811023622,0.7755905511811023,False
0.09,11,53,17,48.253718500301396,0.16141732283464566,0.8385826771653543,0.7086614173228346,False
0.09,12,54,18,44.48683651343875,0.24803149606299213,0.7519685039370079,0.5393700787401575,False
0.09,13,55,15,43.592265536225256,0.25984251968503935,0.7401574803149606,0.5275590551181102,False
0.09,14,56,20,54.04700338006645,0.11811023622047244,0.8818897637795275,0.7952755905511811,False
0.09,15,57,14,44.500770383822214,0.23622047244094488,0.7637795275590551,0.531496062992126,False
0.09,16,58,14,44.50077038383817,0.23622047244094488,0.7637795275590551,0.531496062992126,False
0.09,17,59,20,43.96565657580539,0.16141732283464566,0.8385826771653543,0.6653543307086615,False
0.09,18,60,17,44.335215727002925,0.24015748031496062,0.7598425196850394,0.531496062992126,False
0.09,19,61,37,45.37324758626974,0.10236220472440945,0.8976377952755905,0.7125984251968503,False
0.09,20,62,20,44.46113079667275,0.23622047244094488,0.7637795275590551,0.5393700787401575,False
0.1,1,43,21,47.639976291000686,0.3464566929133858,0.6535433070866141,0.5196850393700787,False
0.1,2,44,46,44.454305395205004,0.15354330708661418,0.8464566929133859,0.6929133858267716,False
0.1,3,45,24,49.28077718543653,0.10236220472440945,0.8976377952755905,0.7755905511811023,False
0.1,4,46,16,44.93211761358299,0.2755905511811024,0.7244094488188977,0.5551181102362205,False
0.1,5,47,15,47.80159550332433,0.1732283464566929,0.8267716535433071,0.6968503937007874,False
0.1,6,48,30,44.33790064291961,0.15748031496062992,0.84251968503937,0.6929133858267716,False
0.1,7,49,15,43.51329310038823,0.18110236220472442,0.8188976377952756,0.6496062992125984,False
0.1,8,50,16,43.44456030831877,0.18503937007874016,0.8149606299212598,0.6535433070866141,False
0.1,9,51,59,44.454305395205004,0.15354330708661418,0.8464566929133859,0.6929133858267716,False
0.1,10,52,12,51.46445652159973,0.1062992125984252,0.8937007874015748,0.7677165354330708,False
0.1,11,53,18,47.89393144233263,0.1732283464566929,0.8267716535433071,0.7204724409448819,False
0.1,12,54,21,44.14646028073123,0.2637795275590551,0.7362204724409449,0.5511811023622047,False
0.1,13,55,16,43.38763537545355,0.2795275590551181,0.7204724409448819,0.5354330708661418,False
0.1,14,56,20,53.48866699307218,0.12992125984251968,0.8700787401574803,0.7874015748031497,False
0.1,15,57,18,44.062671194038685,0.25196850393700787,0.7480314960629921,0.5393700787401575,False
0.1,16,58,15,43.716552059100295,0.2755905511811024,0.7244094488188977,0.531496062992126,False
0.1,17,59,19,43.444560308318465,0.18503937007874016,0.8149606299212598,0.6535433070866141,False
0.1,18,60,14,42.894934705949126,0.2795275590551181,0.7204724409448819,0.531496062992126,False
0.1,19,61,43,44.454305395205004,0.15354330708661418,0.8464566929133859,0.6929133858267716,False
0.1,20,62,18,43.081612775309566,0.2874015748031496,0.7125984251968503,0.5354330708661418,False
