run,seed,fa_iter,frcm_refine_iter,total_iter_used,total_time_sec,avg_time_per_iter_sec,best_fa_objective,final_refined_objective,n_label_aktif,label_aktif,n_lower_objects,n_boundary_objects,boundary_ratio,min_cluster_size,max_cluster_size,max_cluster_ratio,is_very_imbalanced,n_label_0,n_label_1,n_label_2
13,55,297,19,316,4.806616500020027,0.015210811708924136,52.71231782783611,55.11060533846373,3,"0,1,2",221,33,0.12992125984251968,14,184,0.7244094488188977,False,184,56,14
14,56,297,9,306,5.052216099982616,0.016510510130662143,53.862270424318716,52.886797137382615,3,"0,1,2",230,24,0.09448818897637795,24,198,0.7795275590551181,False,198,24,32
15,57,297,69,366,7.125860699976329,0.019469564754033684,37.93117389381213,37.06032799237725,3,"0,1,2",24,230,0.905511811023622,30,115,0.452755905511811,False,30,109,115
16,58,297,13,310,4.634502799948677,0.014950009032092508,59.171754385044565,52.83519859531454,3,"0,1,2",228,26,0.10236220472440945,25,194,0.7637795275590551,False,35,194,25
17,59,297,18,315,6.5851697999751195,0.020905300952301968,39.68891324180639,49.26559993721045,3,"0,1,2",209,45,0.17716535433070865,25,178,0.7007874015748031,False,51,25,178
18,60,297,31,328,8.015494099992793,0.024437482012173148,27.40488463489968,52.672486075251385,3,"0,1,2",181,73,0.2874015748031496,21,130,0.5118110236220472,False,130,21,103
19,61,297,24,321,7.257823399966583,0.022610041744444184,37.67580475811519,55.122476333108786,3,"0,1,2",224,30,0.11811023622047244,14,178,0.7007874015748031,False,178,14,62
20,62,297,16,313,6.541455700004008,0.020899219488830695,37.51969504047769,54.23986290226546,3,"0,1,2",221,33,0.12992125984251968,6,187,0.7362204724409449,False,187,61,6
21,63,297,18,315,5.6393589999643154,0.0179027269840137,51.40221512382025,55.122476333108786,3,"0,1,2",224,30,0.11811023622047244,14,178,0.7007874015748031,False,178,14,62
22,64,297,14,311,4.5665430999943055,0.014683418327955966,64.46664555492976,52.586650730057784,3,"0,1,2",225,29,0.1141732283464567,25,191,0.7519685039370079,False,25,38,191
23,65,297,44,341,6.502503699972294,0.019068925806370363,39.32957636332027,37.67962260897187,3,"0,1,2",30,224,0.8818897637795275,38,115,0.452755905511811,False,115,101,38
24,66,297,21,318,6.351914300001226,0.019974573270444107,40.296755934978435,59.19329808121903,3,"0,1,2",220,34,0.13385826771653545,1,191,0.7519685039370079,False,62,191,1
25,67,297,19,316,6.101579799957108,0.019308796835307302,43.90972694156928,52.58665073004609,3,"0,1,2",225,29,0.1141732283464567,25,191,0.7519685039370079,False,191,25,38
26,68,297,38,335,7.122183800034691,0.021260250149357285,38.332581715895415,37.0603279918315,3,"0,1,2",24,230,0.905511811023622,30,115,0.452755905511811,False,115,30,109
27,69,297,43,340,7.03236230002949,0.0206834185294985,37.99219140935429,37.00063435057076,3,"0,1,2",23,231,0.9094488188976378,29,115,0.452755905511811,False,110,115,29
28,70,297,22,319,8.537082399998326,0.0267620137930982,27.577117381240072,52.67248607572149,3,"0,1,2",181,73,0.2874015748031496,21,130,0.5118110236220472,False,21,130,103
29,71,297,17,314,7.074296600010712,0.02252960700640354,40.28317491263038,59.19329808121887,3,"0,1,2",220,34,0.13385826771653545,1,191,0.7519685039370079,False,191,62,1
30,72,297,53,350,7.425289499980863,0.02121511285708818,37.773172192175096,36.997548789503995,3,"0,1,2",24,230,0.905511811023622,31,118,0.4645669291338583,False,118,105,31
31,73,297,17,314,5.53621380002005,0.017631254140191243,48.71218885589991,55.087000956883934,3,"0,1,2",224,30,0.11811023622047244,14,178,0.7007874015748031,False,62,178,14
32,74,297,76,373,6.884387800004333,0.018456803753362824,28.840198279846696,37.6796226076833,3,"0,1,2",30,224,0.8818897637795275,38,115,0.452755905511811,False,38,101,115
33,75,297,36,333,6.857993100013118,0.02059457387391327,38.70635453179071,37.060327995096756,3,"0,1,2",24,230,0.905511811023622,30,115,0.452755905511811,False,109,115,30
34,76,297,12,309,4.811421799997333,0.015570944336560949,54.558142604960736,52.88679713738259,3,"0,1,2",230,24,0.09448818897637795,24,198,0.7795275590551181,False,32,24,198
35,77,297,29,326,7.764033700048458,0.02381605429462717,28.67871457376608,52.67248607569488,3,"0,1,2",181,73,0.2874015748031496,21,130,0.5118110236220472,False,130,21,103
36,78,297,69,366,6.925211100024171,0.01892134180334473,39.45587623730182,37.38064780546236,3,"0,1,2",27,227,0.8937007874015748,34,116,0.4566929133858268,False,104,34,116
37,79,297,27,324,7.53536440001335,0.023257297530905403,34.51452026222446,52.672486075536774,3,"0,1,2",181,73,0.2874015748031496,21,130,0.5118110236220472,False,130,21,103
38,80,297,14,311,5.431885199970566,0.017465868810194744,45.75317841127302,52.58665073004608,3,"0,1,2",225,29,0.1141732283464567,25,191,0.7519685039370079,False,38,25,191
39,81,297,36,333,8.416533999959938,0.025274876876756572,30.333631040771497,52.6724860752513,3,"0,1,2",181,73,0.2874015748031496,21,130,0.5118110236220472,False,103,21,130
40,82,297,12,309,4.783051600039471,0.015479131391713499,55.73987303583611,52.88679713738269,3,"0,1,2",230,24,0.09448818897637795,24,198,0.7795275590551181,False,24,198,32
41,83,297,44,341,6.362324899993837,0.018657844281506852,39.729106307987784,37.67962260837693,3,"0,1,2",30,224,0.8818897637795275,38,115,0.452755905511811,False,115,38,101
42,84,297,58,355,7.145851599983871,0.020129159436574284,38.13818218323654,37.203073875181744,3,"0,1,2",26,228,0.8976377952755905,32,118,0.4645669291338583,False,32,118,104
43,85,297,23,320,6.235650199989323,0.01948640687496663,37.45049909941558,55.087000956883934,3,"0,1,2",224,30,0.11811023622047244,14,178,0.7007874015748031,False,14,62,178
44,86,297,17,314,6.455818599963095,0.020559931847016225,34.6356714700152,52.09097440284681,3,"0,1,2",178,76,0.2992125984251969,23,133,0.5236220472440944,False,23,98,133
45,87,297,25,322,4.679791799979284,0.014533514906767964,69.42624658611501,63.549671359645394,3,"0,1,2",224,30,0.11811023622047244,2,211,0.8307086614173228,True,211,41,2
46,88,297,61,358,7.037805199972354,0.019658673742939534,38.15414627984761,37.00063434946516,3,"0,1,2",23,231,0.9094488188976378,29,115,0.452755905511811,False,29,115,110
47,89,297,13,310,5.646624299988616,0.018214917096737473,48.54439196971444,49.26559993720852,3,"0,1,2",209,45,0.17716535433070865,25,178,0.7007874015748031,False,25,51,178
