run,seed,n_iter_internal,total_time_sec,avg_time_per_iter_sec,final_objective,n_label_aktif,label_aktif,n_lower_objects,n_boundary_objects,avg_active_clusters_per_object,boundary_ratio,max_cluster_ratio,min_cluster_size,max_cluster_size,n_label_0,n_label_1,n_label_2,n_label_3,is_very_imbalanced
43,85,24,0.02699670009315014,0.0011248625038812559,45.37324758626839,4,"0,1,2,3",228,26,1.110236220472441,0.10236220472440945,0.7125984251968503,13,181,13,181,25,35,False
44,86,14,0.017504599993117154,0.0012503285709369396,44.50077038382106,4,"0,1,2,3",194,60,1.2480314960629921,0.23622047244094488,0.531496062992126,20,135,135,23,76,20,False
45,87,15,0.015088199987076223,0.001005879999138415,47.46262342701378,4,"0,1,2,3",210,44,1.1771653543307086,0.1732283464566929,0.6968503937007874,2,177,51,24,177,2,False
46,88,15,0.017892899923026562,0.0011928599948684375,44.50077038382133,4,"0,1,2,3",194,60,1.2480314960629921,0.23622047244094488,0.531496062992126,20,135,20,135,76,23,False
47,89,21,0.022685800096951425,0.001080276195092925,43.96565657571047,4,"0,1,2,3",213,41,1.1653543307086613,0.16141732283464566,0.6653543307086615,13,169,25,47,169,13,False
48,90,22,0.024992599966935813,0.0011360272712243552,50.00769918708116,4,"0,1,2,3",180,74,1.2913385826771653,0.29133858267716534,0.5118110236220472,4,130,4,130,97,23,False
49,91,36,0.03760639997199178,0.001044622221444216,45.373247586268405,4,"0,1,2,3",228,26,1.110236220472441,0.10236220472440945,0.7125984251968503,13,181,25,13,181,35,False
50,92,15,0.017084200051613152,0.0011389466701075435,44.5007703838223,4,"0,1,2,3",194,60,1.2480314960629921,0.23622047244094488,0.531496062992126,20,135,20,23,76,135,False
51,93,17,0.017203499912284315,0.001011970583075548,44.4856901734116,4,"0,1,2,3",214,40,1.1614173228346456,0.15748031496062992,0.6811023622047244,13,173,25,43,173,13,False
52,94,18,0.020597499911673367,0.0011443055506485205,44.363770587341016,4,"0,1,2,3",193,61,1.2519685039370079,0.24015748031496062,0.531496062992126,21,135,21,135,23,75,False
53,95,21,0.023466199985705316,0.001117438094557396,44.56634182415627,4,"0,1,2,3",195,59,1.2480314960629921,0.23228346456692914,0.5393700787401575,21,137,73,137,23,21,False
54,96,20,0.02389079995919019,0.0011945399979595094,44.48683651337299,4,"0,1,2,3",191,63,1.2598425196850394,0.24803149606299213,0.5393700787401575,21,137,137,21,21,75,False
55,97,24,0.029968000017106533,0.0012486666673794389,44.50077038382082,4,"0,1,2,3",194,60,1.2480314960629921,0.23622047244094488,0.531496062992126,20,135,20,23,135,76,False
56,98,17,0.02109100006055087,0.0012406470623853453,44.3532618799089,4,"0,1,2,3",194,60,1.2519685039370079,0.23622047244094488,0.531496062992126,21,135,75,135,21,23,False
57,99,40,0.040000799926929176,0.0010000199981732294,44.50077038382112,4,"0,1,2,3",194,60,1.2480314960629921,0.23622047244094488,0.531496062992126,20,135,23,135,20,76,False
58,100,18,0.023134200018830597,0.0012852333343794777,44.500770383821255,4,"0,1,2,3",194,60,1.2480314960629921,0.23622047244094488,0.531496062992126,20,135,20,135,76,23,False
59,101,15,0.01760310004465282,0.0011735400029768547,44.21628253251136,4,"0,1,2,3",193,61,1.2559055118110236,0.24015748031496062,0.531496062992126,21,135,21,75,135,23,False
