combo_id,N_FIREFLIES,MAX_ITER_FA,ALPHA0,THETA,BETA0,GAMMA,avg_final_objective,std_final_objective,avg_max_cluster_ratio,std_max_cluster_ratio,avg_boundary_ratio,n_imbalanced_runs,score_select
22,20,100,1.0,0.97,2.0,0.5,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
15,20,100,1.0,0.97,0.5,1.0,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
4,20,100,1.0,0.95,0.5,2.0,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
58,20,200,1.0,0.97,2.0,0.5,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
48,20,200,1.0,0.95,2.0,2.0,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
32,20,100,1.0,0.99,1.0,2.0,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
31,20,100,1.0,0.99,1.0,1.0,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
38,20,200,1.0,0.95,0.5,0.5,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
39,20,200,1.0,0.95,0.5,1.0,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
33,20,100,1.0,0.99,2.0,0.1,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
34,20,100,1.0,0.99,2.0,0.5,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
44,20,200,1.0,0.95,1.0,2.0,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
40,20,200,1.0,0.95,0.5,2.0,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
43,20,200,1.0,0.95,1.0,1.0,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
42,20,200,1.0,0.95,1.0,0.5,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
47,20,200,1.0,0.95,2.0,1.0,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
46,20,200,1.0,0.95,2.0,0.5,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
35,20,100,1.0,0.99,2.0,1.0,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
36,20,100,1.0,0.99,2.0,2.0,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
63,20,200,1.0,0.99,0.5,1.0,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
59,20,200,1.0,0.97,2.0,1.0,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
51,20,200,1.0,0.97,0.5,1.0,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
50,20,200,1.0,0.97,0.5,0.5,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
52,20,200,1.0,0.97,0.5,2.0,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
54,20,200,1.0,0.97,1.0,0.5,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
55,20,200,1.0,0.97,1.0,1.0,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
56,20,200,1.0,0.97,1.0,2.0,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
29,20,100,1.0,0.99,1.0,0.1,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
10,20,100,1.0,0.95,2.0,0.5,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
12,20,100,1.0,0.95,2.0,2.0,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
11,20,100,1.0,0.95,2.0,1.0,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
7,20,100,1.0,0.95,1.0,1.0,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
6,20,100,1.0,0.95,1.0,0.5,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
8,20,100,1.0,0.95,1.0,2.0,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
2,20,100,1.0,0.95,0.5,0.5,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
72,20,200,1.0,0.99,2.0,2.0,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
69,20,200,1.0,0.99,2.0,0.1,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
68,20,200,1.0,0.99,1.0,2.0,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
67,20,200,1.0,0.99,1.0,1.0,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
61,20,200,1.0,0.99,0.5,0.1,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
60,20,200,1.0,0.97,2.0,2.0,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
62,20,200,1.0,0.99,0.5,0.5,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
66,20,200,1.0,0.99,1.0,0.5,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
71,20,200,1.0,0.99,2.0,1.0,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
70,20,200,1.0,0.99,2.0,0.5,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
27,20,100,1.0,0.99,0.5,1.0,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
28,20,100,1.0,0.99,0.5,2.0,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
16,20,100,1.0,0.97,0.5,2.0,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
14,20,100,1.0,0.97,0.5,0.5,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
18,20,100,1.0,0.97,1.0,0.5,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
3,20,100,1.0,0.95,0.5,1.0,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
64,20,200,1.0,0.99,0.5,2.0,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
30,20,100,1.0,0.99,1.0,0.5,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
