run,seed,n_iter_internal,total_time_sec,avg_time_per_iter_sec,final_objective,n_label_aktif,label_aktif,n_label_0,n_label_1,n_label_2,n_label_3
61,103,16,0.0012709000147879124,7.943125092424452e-05,51.582367026905615,4,"0,1,2,3",22,24,124,84
62,104,12,0.000973300077021122,8.110833975176017e-05,50.827810573523394,4,"0,1,2,3",26,63,151,14
63,105,25,0.002175200032070279,8.700800128281117e-05,50.97443937759325,4,"0,1,2,3",28,175,14,37
64,106,12,0.0012566999066621065,0.00010472499222184221,51.85879584376086,4,"0,1,2,3",70,26,25,133
65,107,11,0.0009322999976575375,8.475454524159431e-05,50.86890825134527,4,"0,1,2,3",163,26,51,14
66,108,12,0.0009876000694930553,8.230000579108794e-05,50.87490650434507,4,"0,1,2,3",151,22,67,14
67,109,17,0.002385500119999051,0.00014032353647053242,51.57775424555595,4,"0,1,2,3",85,21,124,24
68,110,8,0.0009856000542640686,0.00012320000678300858,57.59971710549406,4,"0,1,2,3",15,1,69,169
69,111,5,0.0005491001065820456,0.00010982002131640912,55.65026181221812,4,"0,1,2,3",175,53,2,24
70,112,7,0.0011096999514847994,0.00015852856449782848,50.82844763026387,4,"0,1,2,3",148,14,67,25
71,113,6,0.000870599877089262,0.000145099979514877,58.641832803290804,4,"0,1,2,3",183,65,4,2
72,114,15,0.0011682999320328236,7.788666213552158e-05,55.63376807906608,4,"0,1,2,3",156,7,19,72
73,115,12,0.0010476000607013702,8.730000505844752e-05,51.58974117932868,4,"0,1,2,3",84,23,22,125
74,116,9,0.0007450999692082405,8.278888546758228e-05,53.14994460766387,4,"0,1,2,3",14,146,81,13
75,117,9,0.000856500118970871,9.516667988565232e-05,53.521687337073196,4,"0,1,2,3",169,65,5,15
76,118,7,0.0014615999534726143,0.0002087999933532306,57.458661913367564,4,"0,1,2,3",24,72,157,1
77,119,27,0.0018278001807630062,6.769630299122245e-05,56.108877549995874,4,"0,1,2,3",13,22,92,127
78,120,7,0.0007132000755518675,0.00010188572507883822,50.82853728027537,4,"0,1,2,3",14,26,64,150
79,121,18,0.0016597001813352108,9.220556562973393e-05,51.84870812430793,4,"0,1,2,3",24,134,70,26
80,122,7,0.000784900039434433,0.00011212857706206185,55.66933731753409,4,"0,1,2,3",159,66,4,25
81,123,6,0.0006466999184340239,0.00010778331973900397,50.841496181116455,4,"0,1,2,3",67,26,14,147
82,124,8,0.0007160000968724489,8.950001210905612e-05,54.119478877238045,4,"0,1,2,3",18,5,147,84
83,125,8,0.0009876000694930553,0.00012345000868663192,51.582367026905615,4,"0,1,2,3",124,24,22,84
84,126,26,0.0023803000804036856,9.155000309244945e-05,52.77521870377485,4,"0,1,2,3",22,14,103,115
85,127,9,0.0009738001972436905,0.00010820002191596561,51.59464804891253,4,"0,1,2,3",132,19,78,25
86,128,12,0.0009735999628901482,8.113333024084568e-05,51.59001656745614,4,"0,1,2,3",24,79,19,132
87,129,10,0.0016125000547617674,0.00016125000547617674,54.39966330778572,4,"0,1,2,3",26,73,13,142
88,130,19,0.0016337002161890268,8.598422190468562e-05,51.6240377658079,4,"0,1,2,3",22,84,126,22
89,131,16,0.0011992999352514744,7.495624595321715e-05,50.81457011207782,4,"0,1,2,3",14,155,60,25
90,132,8,0.000893099932000041,0.00011163749150000513,52.77521870377485,4,"0,1,2,3",22,14,103,115
91,133,8,0.0016002999618649483,0.00020003749523311853,50.83735605964917,4,"0,1,2,3",14,149,25,66
92,134,16,0.0011492001358419657,7.182500849012285e-05,57.55178516081534,4,"0,1,2,3",12,172,65,5
93,135,18,0.0012529999949038029,6.961111082798905e-05,53.072295092205316,4,"0,1,2,3",14,18,82,140
94,136,10,0.00184449995867908,0.000184449995867908,56.408540047049385,4,"0,1,2,3",19,45,51,139
95,137,11,0.0008980999700725079,8.164545182477345e-05,50.97443937759326,4,"0,1,2,3",37,28,175,14
96,138,9,0.0007603000849485397,8.447778721650441e-05,54.63663978786538,4,"0,1,2,3",20,157,72,5
97,139,13,0.0009963000193238258,7.663846302490968e-05,54.39672989295744,4,"0,1,2,3",122,21,36,75
98,140,7,0.0006061000749468803,8.658572499241148e-05,50.82694010646616,4,"0,1,2,3",14,27,59,154
99,141,9,0.0011460999958217144,0.0001273444439801905,51.82348659163286,4,"0,1,2,3",71,25,24,134
100,142,7,0.0007956998888403177,0.00011367141269147396,50.82844763026387,4,"0,1,2,3",14,148,67,25
TOTAL_RUNTIME,,,0.3745772000402212,,,,,,,,
