Run,Metode,k,Symmetric Purity,File
20,FA-FRCM,3,0.6981386184994591,fafrcm_k3_run20.csv
21,FA-FRCM,3,0.7000850466347398,fafrcm_k3_run21.csv
22,FA-FRCM,3,0.6940999993111098,fafrcm_k3_run22.csv
23,FA-FRCM,3,0.6765641410070697,fafrcm_k3_run23.csv
24,FA-FRCM,3,0.7027559055118111,fafrcm_k3_run24.csv
25,FA-FRCM,3,0.7023900108406278,fafrcm_k3_run25.csv
26,FA-FRCM,3,0.6757334019718545,fafrcm_k3_run26.csv
27,FA-FRCM,3,0.6714034135138978,fafrcm_k3_run27.csv
28,FA-FRCM,3,0.6765641410070697,fafrcm_k3_run28.csv
29,FA-FRCM,3,0.7027559055118111,fafrcm_k3_run29.csv
30,FA-FRCM,3,0.6757099170763997,fafrcm_k3_run30.csv
31,FA-FRCM,3,0.7000850466347398,fafrcm_k3_run31.csv
32,FA-FRCM,3,0.6940999993111098,fafrcm_k3_run32.csv
33,FA-FRCM,3,0.6755110782948838,fafrcm_k3_run33.csv
34,FA-FRCM,3,0.6896696520665768,fafrcm_k3_run34.csv
35,FA-FRCM,3,0.6765641410070697,fafrcm_k3_run35.csv
36,FA-FRCM,3,0.6746067532539105,fafrcm_k3_run36.csv
37,FA-FRCM,3,0.7023900108406279,fafrcm_k3_run37.csv
38,FA-FRCM,3,0.6980166536090648,fafrcm_k3_run38.csv
39,FA-FRCM,3,0.7000850466347398,fafrcm_k3_run39.csv
40,FA-FRCM,3,0.6896696520665767,fafrcm_k3_run40.csv
41,FA-FRCM,3,0.7023900108406279,fafrcm_k3_run41.csv
42,FA-FRCM,3,0.6714034135138978,fafrcm_k3_run42.csv
43,FA-FRCM,3,0.7000850466347398,fafrcm_k3_run43.csv
44,FA-FRCM,3,0.6755110782948837,fafrcm_k3_run44.csv
45,FA-FRCM,3,0.582265396854026,fafrcm_k3_run45.csv
46,FA-FRCM,3,0.6714034135138978,fafrcm_k3_run46.csv
47,FA-FRCM,3,0.7023900108406279,fafrcm_k3_run47.csv
48,FA-FRCM,3,0.7036323618101783,fafrcm_k3_run48.csv
49,FA-FRCM,3,0.7000850466347398,fafrcm_k3_run49.csv
50,FA-FRCM,3,0.6765641410070697,fafrcm_k3_run50.csv
51,FA-FRCM,3,0.6714034135138978,fafrcm_k3_run51.csv
52,FA-FRCM,3,0.6765641410070697,fafrcm_k3_run52.csv
53,FA-FRCM,3,0.6896696520665768,fafrcm_k3_run53.csv
54,FA-FRCM,3,0.7104622391062964,fafrcm_k3_run54.csv
55,FA-FRCM,3,0.6765641410070697,fafrcm_k3_run55.csv
56,FA-FRCM,3,0.7023900108406278,fafrcm_k3_run56.csv
57,FA-FRCM,3,0.6714034135138978,fafrcm_k3_run57.csv
58,FA-FRCM,3,0.6765641410070697,fafrcm_k3_run58.csv
59,FA-FRCM,3,0.6746067532539105,fafrcm_k3_run59.csv
60,FA-FRCM,3,0.6732959829556024,fafrcm_k3_run60.csv
61,FA-FRCM,3,0.5954282110584423,fafrcm_k3_run61.csv
62,FA-FRCM,3,0.6757099170763997,fafrcm_k3_run62.csv
63,FA-FRCM,3,0.7023900108406279,fafrcm_k3_run63.csv
64,FA-FRCM,3,0.6757099170763997,fafrcm_k3_run64.csv
65,FA-FRCM,3,0.6732959829556024,fafrcm_k3_run65.csv
66,FA-FRCM,3,0.7104622391062964,fafrcm_k3_run66.csv
67,FA-FRCM,3,0.6980166536090648,fafrcm_k3_run67.csv
68,FA-FRCM,3,0.6980166536090648,fafrcm_k3_run68.csv
69,FA-FRCM,3,0.6629764067608943,fafrcm_k3_run69.csv
70,FA-FRCM,3,0.6755110782948837,fafrcm_k3_run70.csv
71,FA-FRCM,3,0.7054915827003372,fafrcm_k3_run71.csv
72,FA-FRCM,3,0.6765641410070699,fafrcm_k3_run72.csv
73,FA-FRCM,3,0.6732959829556024,fafrcm_k3_run73.csv
74,FA-FRCM,3,0.6755110782948838,fafrcm_k3_run74.csv
75,FA-FRCM,3,0.6980166536090648,fafrcm_k3_run75.csv
76,FA-FRCM,3,0.6755110782948838,fafrcm_k3_run76.csv
77,FA-FRCM,3,0.6757099170763997,fafrcm_k3_run77.csv
78,FA-FRCM,3,0.7000850466347398,fafrcm_k3_run78.csv
79,FA-FRCM,3,0.6980166536090648,fafrcm_k3_run79.csv
80,FA-FRCM,3,0.7000850466347398,fafrcm_k3_run80.csv
81,FA-FRCM,3,0.7000850466347398,fafrcm_k3_run81.csv
82,FA-FRCM,3,0.6980166536090648,fafrcm_k3_run82.csv
83,FA-FRCM,3,0.7023900108406278,fafrcm_k3_run83.csv
84,FA-FRCM,3,0.6757099170763996,fafrcm_k3_run84.csv
85,FA-FRCM,3,0.6714034135138978,fafrcm_k3_run85.csv
86,FA-FRCM,3,0.6765641410070699,fafrcm_k3_run86.csv
87,FA-FRCM,3,0.6980166536090648,fafrcm_k3_run87.csv
88,FA-FRCM,3,0.6981386184994591,fafrcm_k3_run88.csv
89,FA-FRCM,3,0.6765641410070699,fafrcm_k3_run89.csv
90,FA-FRCM,3,0.7023900108406279,fafrcm_k3_run90.csv
91,FA-FRCM,3,0.6765641410070699,fafrcm_k3_run91.csv
92,FA-FRCM,3,0.7104622391062964,fafrcm_k3_run92.csv
93,FA-FRCM,3,0.6980166536090648,fafrcm_k3_run93.csv
94,FA-FRCM,3,0.7023900108406278,fafrcm_k3_run94.csv
95,FA-FRCM,3,0.7104622391062964,fafrcm_k3_run95.csv
96,FA-FRCM,3,0.5836748037132439,fafrcm_k3_run96.csv
97,FA-FRCM,3,0.6732959829556024,fafrcm_k3_run97.csv
98,FA-FRCM,3,0.7000850466347398,fafrcm_k3_run98.csv
99,FA-FRCM,3,0.7023900108406278,fafrcm_k3_run99.csv
100,FA-FRCM,3,0.7000850466347398,fafrcm_k3_run100.csv
