combo_id,run,N_FIREFLIES,MAX_ITER_FA,ALPHA0,THETA,BETA0,GAMMA,seed,refine_iter,final_objective,max_cluster_ratio,boundary_ratio,is_imbalanced
56,4,20,200,1.0,0.97,1.0,2.0,46,16,45.72675611394918,0.5551181102362205,0.2559055118110236,False
56,5,20,200,1.0,0.97,1.0,2.0,47,18,48.250404021039714,0.7125984251968503,0.15354330708661418,False
57,1,20,200,1.0,0.97,2.0,0.1,43,21,47.7274709436505,0.5118110236220472,0.32677165354330706,False
57,2,20,200,1.0,0.97,2.0,0.1,44,30,44.53830365053519,0.5354330708661418,0.23622047244094488,False
57,3,20,200,1.0,0.97,2.0,0.1,45,17,49.47219147298283,0.7598425196850394,0.0984251968503937,False
57,4,20,200,1.0,0.97,2.0,0.1,46,23,44.67683202608594,0.5393700787401575,0.24015748031496062,False
57,5,20,200,1.0,0.97,2.0,0.1,47,18,48.250404021039714,0.7125984251968503,0.15354330708661418,False
58,1,20,200,1.0,0.97,2.0,0.5,43,28,48.37621476418868,0.5078740157480315,0.3188976377952756,False
58,2,20,200,1.0,0.97,2.0,0.5,44,48,45.37324758626835,0.7125984251968503,0.10236220472440945,False
58,3,20,200,1.0,0.97,2.0,0.5,45,17,49.47219147298283,0.7598425196850394,0.0984251968503937,False
58,4,20,200,1.0,0.97,2.0,0.5,46,16,45.72675611394918,0.5551181102362205,0.2559055118110236,False
58,5,20,200,1.0,0.97,2.0,0.5,47,18,48.250404021039714,0.7125984251968503,0.15354330708661418,False
59,1,20,200,1.0,0.97,2.0,1.0,43,28,48.37621476418868,0.5078740157480315,0.3188976377952756,False
59,2,20,200,1.0,0.97,2.0,1.0,44,48,45.37324758626835,0.7125984251968503,0.10236220472440945,False
59,3,20,200,1.0,0.97,2.0,1.0,45,17,49.47219147298283,0.7598425196850394,0.0984251968503937,False
59,4,20,200,1.0,0.97,2.0,1.0,46,16,45.72675611394918,0.5551181102362205,0.2559055118110236,False
59,5,20,200,1.0,0.97,2.0,1.0,47,18,48.250404021039714,0.7125984251968503,0.15354330708661418,False
60,1,20,200,1.0,0.97,2.0,2.0,43,28,48.37621476418868,0.5078740157480315,0.3188976377952756,False
60,2,20,200,1.0,0.97,2.0,2.0,44,48,45.37324758626835,0.7125984251968503,0.10236220472440945,False
60,3,20,200,1.0,0.97,2.0,2.0,45,17,49.47219147298283,0.7598425196850394,0.0984251968503937,False
60,4,20,200,1.0,0.97,2.0,2.0,46,16,45.72675611394918,0.5551181102362205,0.2559055118110236,False
60,5,20,200,1.0,0.97,2.0,2.0,47,18,48.250404021039714,0.7125984251968503,0.15354330708661418,False
61,1,20,200,1.0,0.99,0.5,0.1,43,28,48.37621476418868,0.5078740157480315,0.3188976377952756,False
61,2,20,200,1.0,0.99,0.5,0.1,44,48,45.37324758626835,0.7125984251968503,0.10236220472440945,False
61,3,20,200,1.0,0.99,0.5,0.1,45,17,49.47219147298283,0.7598425196850394,0.0984251968503937,False
61,4,20,200,1.0,0.99,0.5,0.1,46,16,45.72675611394918,0.5551181102362205,0.2559055118110236,False
61,5,20,200,1.0,0.99,0.5,0.1,47,18,48.250404021039714,0.7125984251968503,0.15354330708661418,False
62,1,20,200,1.0,0.99,0.5,0.5,43,28,48.37621476418868,0.5078740157480315,0.3188976377952756,False
62,2,20,200,1.0,0.99,0.5,0.5,44,48,45.37324758626835,0.7125984251968503,0.10236220472440945,False
62,3,20,200,1.0,0.99,0.5,0.5,45,17,49.47219147298283,0.7598425196850394,0.0984251968503937,False
62,4,20,200,1.0,0.99,0.5,0.5,46,16,45.72675611394918,0.5551181102362205,0.2559055118110236,False
62,5,20,200,1.0,0.99,0.5,0.5,47,18,48.250404021039714,0.7125984251968503,0.15354330708661418,False
63,1,20,200,1.0,0.99,0.5,1.0,43,28,48.37621476418868,0.5078740157480315,0.3188976377952756,False
63,2,20,200,1.0,0.99,0.5,1.0,44,48,45.37324758626835,0.7125984251968503,0.10236220472440945,False
63,3,20,200,1.0,0.99,0.5,1.0,45,17,49.47219147298283,0.7598425196850394,0.0984251968503937,False
63,4,20,200,1.0,0.99,0.5,1.0,46,16,45.72675611394918,0.5551181102362205,0.2559055118110236,False
63,5,20,200,1.0,0.99,0.5,1.0,47,18,48.250404021039714,0.7125984251968503,0.15354330708661418,False
64,1,20,200,1.0,0.99,0.5,2.0,43,28,48.37621476418868,0.5078740157480315,0.3188976377952756,False
64,2,20,200,1.0,0.99,0.5,2.0,44,48,45.37324758626835,0.7125984251968503,0.10236220472440945,False
64,3,20,200,1.0,0.99,0.5,2.0,45,17,49.47219147298283,0.7598425196850394,0.0984251968503937,False
64,4,20,200,1.0,0.99,0.5,2.0,46,16,45.72675611394918,0.5551181102362205,0.2559055118110236,False
64,5,20,200,1.0,0.99,0.5,2.0,47,18,48.250404021039714,0.7125984251968503,0.15354330708661418,False
65,1,20,200,1.0,0.99,1.0,0.1,43,31,48.376214764188674,0.5078740157480315,0.3188976377952756,False
65,2,20,200,1.0,0.99,1.0,0.1,44,48,45.37324758626835,0.7125984251968503,0.10236220472440945,False
65,3,20,200,1.0,0.99,1.0,0.1,45,17,49.47219147298283,0.7598425196850394,0.0984251968503937,False
65,4,20,200,1.0,0.99,1.0,0.1,46,15,45.72675611394886,0.5551181102362205,0.2559055118110236,False
65,5,20,200,1.0,0.99,1.0,0.1,47,18,48.250404021039714,0.7125984251968503,0.15354330708661418,False
66,1,20,200,1.0,0.99,1.0,0.5,43,28,48.37621476418868,0.5078740157480315,0.3188976377952756,False
66,2,20,200,1.0,0.99,1.0,0.5,44,48,45.37324758626835,0.7125984251968503,0.10236220472440945,False
66,3,20,200,1.0,0.99,1.0,0.5,45,17,49.47219147298283,0.7598425196850394,0.0984251968503937,False
66,4,20,200,1.0,0.99,1.0,0.5,46,16,45.72675611394918,0.5551181102362205,0.2559055118110236,False
66,5,20,200,1.0,0.99,1.0,0.5,47,18,48.250404021039714,0.7125984251968503,0.15354330708661418,False
67,1,20,200,1.0,0.99,1.0,1.0,43,28,48.37621476418868,0.5078740157480315,0.3188976377952756,False
67,2,20,200,1.0,0.99,1.0,1.0,44,48,45.37324758626835,0.7125984251968503,0.10236220472440945,False
67,3,20,200,1.0,0.99,1.0,1.0,45,17,49.47219147298283,0.7598425196850394,0.0984251968503937,False
67,4,20,200,1.0,0.99,1.0,1.0,46,16,45.72675611394918,0.5551181102362205,0.2559055118110236,False
67,5,20,200,1.0,0.99,1.0,1.0,47,18,48.250404021039714,0.7125984251968503,0.15354330708661418,False
68,1,20,200,1.0,0.99,1.0,2.0,43,28,48.37621476418868,0.5078740157480315,0.3188976377952756,False
68,2,20,200,1.0,0.99,1.0,2.0,44,48,45.37324758626835,0.7125984251968503,0.10236220472440945,False
68,3,20,200,1.0,0.99,1.0,2.0,45,17,49.47219147298283,0.7598425196850394,0.0984251968503937,False
68,4,20,200,1.0,0.99,1.0,2.0,46,16,45.72675611394918,0.5551181102362205,0.2559055118110236,False
68,5,20,200,1.0,0.99,1.0,2.0,47,18,48.250404021039714,0.7125984251968503,0.15354330708661418,False
69,1,20,200,1.0,0.99,2.0,0.1,43,28,48.37621476418868,0.5078740157480315,0.3188976377952756,False
69,2,20,200,1.0,0.99,2.0,0.1,44,48,45.37324758626835,0.7125984251968503,0.10236220472440945,False
69,3,20,200,1.0,0.99,2.0,0.1,45,17,49.47219147298283,0.7598425196850394,0.0984251968503937,False
69,4,20,200,1.0,0.99,2.0,0.1,46,16,45.72675611394918,0.5551181102362205,0.2559055118110236,False
69,5,20,200,1.0,0.99,2.0,0.1,47,18,48.250404021039714,0.7125984251968503,0.15354330708661418,False
70,1,20,200,1.0,0.99,2.0,0.5,43,28,48.37621476418868,0.5078740157480315,0.3188976377952756,False
70,2,20,200,1.0,0.99,2.0,0.5,44,48,45.37324758626835,0.7125984251968503,0.10236220472440945,False
70,3,20,200,1.0,0.99,2.0,0.5,45,17,49.47219147298283,0.7598425196850394,0.0984251968503937,False
70,4,20,200,1.0,0.99,2.0,0.5,46,16,45.72675611394918,0.5551181102362205,0.2559055118110236,False
70,5,20,200,1.0,0.99,2.0,0.5,47,18,48.250404021039714,0.7125984251968503,0.15354330708661418,False
71,1,20,200,1.0,0.99,2.0,1.0,43,28,48.37621476418868,0.5078740157480315,0.3188976377952756,False
71,2,20,200,1.0,0.99,2.0,1.0,44,48,45.37324758626835,0.7125984251968503,0.10236220472440945,False
71,3,20,200,1.0,0.99,2.0,1.0,45,17,49.47219147298283,0.7598425196850394,0.0984251968503937,False
71,4,20,200,1.0,0.99,2.0,1.0,46,16,45.72675611394918,0.5551181102362205,0.2559055118110236,False
71,5,20,200,1.0,0.99,2.0,1.0,47,18,48.250404021039714,0.7125984251968503,0.15354330708661418,False
72,1,20,200,1.0,0.99,2.0,2.0,43,28,48.37621476418868,0.5078740157480315,0.3188976377952756,False
72,2,20,200,1.0,0.99,2.0,2.0,44,48,45.37324758626835,0.7125984251968503,0.10236220472440945,False
72,3,20,200,1.0,0.99,2.0,2.0,45,17,49.47219147298283,0.7598425196850394,0.0984251968503937,False
72,4,20,200,1.0,0.99,2.0,2.0,46,16,45.72675611394918,0.5551181102362205,0.2559055118110236,False
72,5,20,200,1.0,0.99,2.0,2.0,47,18,48.250404021039714,0.7125984251968503,0.15354330708661418,False
73,1,25,100,1.0,0.95,0.5,0.1,43,27,48.376214764188724,0.5078740157480315,0.3188976377952756,False
73,2,25,100,1.0,0.95,0.5,0.1,44,31,45.37324758626836,0.7125984251968503,0.10236220472440945,False
73,3,25,100,1.0,0.95,0.5,0.1,45,21,49.48491554217313,0.7677165354330708,0.09055118110236221,False
73,4,25,100,1.0,0.95,0.5,0.1,46,23,44.67683202608592,0.5393700787401575,0.24015748031496062,False
73,5,25,100,1.0,0.95,0.5,0.1,47,18,48.25040402103967,0.7125984251968503,0.15354330708661418,False
74,1,25,100,1.0,0.95,0.5,0.5,43,28,48.37621476418868,0.5078740157480315,0.3188976377952756,False
