run,seed,n_iter_internal,total_time_sec,avg_time_per_iter_sec,final_objective,n_label_aktif,label_aktif,n_label_0,n_label_1,n_label_2,n_label_3
63,105,200,0.22323740005958825,0.0011161870002979412,20.143430683061013,4,"0,1,2,3",8,77,126,43
64,106,200,0.222375400015153,0.001111877000075765,20.143407583593834,4,"0,1,2,3",1,77,127,49
65,107,200,0.22056120005436242,0.001102806000271812,20.143444029372485,4,"0,1,2,3",77,8,126,43
66,108,200,0.21939789992757142,0.0010969894996378572,20.143446959060444,4,"0,1,2,3",43,126,77,8
67,109,200,0.2235971000045538,0.001117985500022769,20.14341517482505,4,"0,1,2,3",2,49,77,126
68,110,200,0.22945009998511523,0.0011472504999255762,20.143437664934165,4,"0,1,2,3",77,43,8,126
69,111,200,0.22661279991734773,0.0011330639995867386,20.143428708340693,4,"0,1,2,3",8,77,126,43
70,112,200,0.22193170001264662,0.0011096585000632331,20.143425180683852,4,"0,1,2,3",77,44,7,126
71,113,200,0.22356019995640963,0.0011178009997820481,20.143433618318113,4,"0,1,2,3",77,8,126,43
72,114,200,0.22285629995167255,0.0011142814997583627,20.143427396461803,4,"0,1,2,3",8,126,77,43
73,115,200,0.22435220004990697,0.0011217610002495347,20.143424833450027,4,"0,1,2,3",44,77,7,126
74,116,200,0.224502700031735,0.001122513500158675,20.14343404652313,4,"0,1,2,3",126,8,77,43
75,117,200,0.2240473999409005,0.0011202369997045025,20.14343698274587,4,"0,1,2,3",8,43,77,126
76,118,200,0.22369240003172308,0.0011184620001586155,20.143431724555484,4,"0,1,2,3",43,77,126,8
77,119,200,0.21946609998121858,0.001097330499906093,20.143442977288977,4,"0,1,2,3",8,77,126,43
78,120,200,0.22785789996851236,0.0011392894998425618,20.14343814514353,4,"0,1,2,3",43,8,126,77
79,121,200,0.23902400000952184,0.0011951200000476093,20.143430891379836,4,"0,1,2,3",8,77,126,43
80,122,200,0.2497597000328824,0.001248798500164412,20.143421315412358,4,"0,1,2,3",77,7,44,126
81,123,200,0.24199350003618747,0.0012099675001809374,20.14340980597205,4,"0,1,2,3",127,77,49,1
82,124,200,0.23098869994282722,0.001154943499714136,20.143415555838473,4,"0,1,2,3",126,49,2,77
83,125,200,0.22207709995564073,0.0011103854997782036,20.143438996879944,4,"0,1,2,3",43,8,77,126
84,126,200,0.2258871999802068,0.001129435999901034,20.14343947103118,4,"0,1,2,3",126,77,8,43
85,127,200,0.2229382999939844,0.001114691499969922,20.143443657929716,4,"0,1,2,3",126,77,43,8
86,128,200,0.22362269996665418,0.001118113499833271,20.143426198730673,4,"0,1,2,3",126,77,7,44
87,129,200,0.2263212000252679,0.0011316060001263395,20.143435431274245,4,"0,1,2,3",43,8,126,77
88,130,200,0.22211029997561127,0.0011105514998780563,20.143403258190112,3,"0,1,2",77,50,127,0
89,131,200,0.22289139998611063,0.001114456999930553,20.143442700370247,4,"0,1,2,3",43,8,126,77
90,132,200,0.2237908000824973,0.0011189540004124866,20.143417236147883,4,"0,1,2,3",77,2,49,126
91,133,200,0.23554030002560467,0.0011777015001280234,20.143443077850513,4,"0,1,2,3",8,43,77,126
92,134,200,0.2292048999806866,0.001146024499903433,20.143427819377493,4,"0,1,2,3",43,77,126,8
93,135,200,0.22384700004477054,0.0011192350002238527,20.14343530367021,4,"0,1,2,3",126,8,77,43
94,136,200,0.22562309994827956,0.0011281154997413979,20.14342960526946,4,"0,1,2,3",126,8,77,43
95,137,200,0.22339359996840358,0.001116967999842018,20.14342621131449,4,"0,1,2,3",7,126,77,44
96,138,200,0.22463269997388124,0.0011231634998694062,20.143425525421815,4,"0,1,2,3",77,7,44,126
97,139,200,0.22137299994938076,0.0011068649997469037,20.1434447272757,4,"0,1,2,3",126,77,8,43
98,140,200,0.22202470002230257,0.001110123500111513,20.143434412273457,4,"0,1,2,3",8,126,77,43
99,141,200,0.22152479994110763,0.0011076239997055383,20.14344613885976,4,"0,1,2,3",126,77,43,8
100,142,200,0.22251840005628765,0.0011125920002814382,20.143417301144133,4,"0,1,2,3",48,3,126,77
TOTAL_RUNTIME,,,22.778857200057246,,,,,,,,
