N_FIREFLIES,MAX_ITER_FA,ALPHA0,THETA,BETA0,GAMMA,avg_final_objective,std_final_objective,avg_max_cluster_ratio,std_max_cluster_ratio,avg_boundary_ratio,n_imbalanced_runs,score_select
27,278,1.0,0.9782217240988661,1.595249722887737,0.24002221860540215,47.22977797411309,2.0825856066292,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
24,120,1.0,0.9568184511412845,0.9519348398771723,0.8103967427326326,47.22977797411309,2.082585606629201,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
24,148,1.0,0.9726961014435893,1.0895740174505613,0.25641407169764274,47.22977797411309,2.082585606629201,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
26,244,1.0,0.9855898144357611,1.591305894017624,0.9081242659517588,47.22977797411309,2.082585606629201,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
30,295,1.0,0.9811222040749497,0.6907157630133086,0.4705449504558905,47.22977797411309,2.0825856066292,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
29,147,1.0,0.9800047394387911,1.270867835627528,0.40040562355117776,47.22977797411309,2.0825856066292,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
27,287,1.0,0.9778447121343328,0.52694281342223,0.12919870092339814,47.22977797411309,2.0825856066292,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
22,199,1.0,0.9513755408446087,1.8639806031181732,0.5916819650400321,47.22977797411309,2.082585606629201,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
25,215,1.0,0.9899364959413411,0.9237190526556011,1.3271272373361582,47.22977797411309,2.082585606629201,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
27,117,1.0,0.9622603505831826,1.476513248883276,0.6288409484343429,47.22977797411309,2.0825856066292,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
24,168,1.0,0.9679081716452151,1.2012179216586236,0.7209290194913038,47.22977797411309,2.082585606629201,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
22,180,1.0,0.9738932494638963,1.140329667749757,0.311900386052009,47.22977797411309,2.082585606629201,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
22,273,1.0,0.9856321626647674,1.7730951473500787,1.4412837244912677,47.22977797411309,2.082585606629201,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
25,194,1.0,0.9744688940312447,1.0609665586123769,1.155272512494305,47.22977797411309,2.082585606629201,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
