Tahun,Provinsi,Timbulan Sampah Harian(ton),Sisa Makanan (%),Kayu-Ranting (%),Kertas-Karton (%),Plastik(%),Logam(%),Kain(%),Karet- Kulit (%),Kaca(%),Lainnya(%),Rumah Tangga(ton),Perkantoran(ton),Pasar(ton),Perniagaan(ton),Fasilitas Publik(ton),Kawasan(ton),Lain(ton)
2020,Nusa Tenggara Timur,121.565,35.7,14.1,12.2,17.4,4.25,3.3,2.075,2.65,8.325,58.3,8.265,24.369999999999997,11.834999999999999,9.29,4.46,3.6500000000000004
2020,Papua,51.21,15.965,10.29,12.5,23.77,7.17,2.525,2.04,2.5,2.855,27.735,9.32,16.48,6.345,5.135,5.12,5.51
2020,Papua Barat,94.89999999999999,22.0,0.0,5.5,13.0,0.0,5.0,7.5,0.0,19.0,64.175,0.0,9.9,2.2,2.06,3.0,2.7650000000000006
2020,Riau,299.93,15.0,14.0,20.0,35.0,10.0,4.0,5.0,4.0,5.0,195.525,3.45,17.035,4.4399999999999995,6.35,6.0,6.0
2020,Sulawesi Barat,125.275,31.84,10.175,19.525,24.85,7.275,0.45,0.35,0.27,5.8,55.715,2.83,6.88,8.93,10.29,14.5,8.07
2020,Sulawesi Selatan,132.12,41.05,10.42,11.45,14.5,3.0,1.9763636363636363,1.9914999999999998,1.77,2.0,32.3,3.54,14.1,3.0,2.0,2.0,4.5
2020,Sulawesi Tengah,159.86,52.98,5.385,14.719999999999999,11.715,3.95,2.0300000000000002,1.84,1.795,5.575,19.605,0.33,7.3,2.335,1.125,3.365,0.54
2020,Sulawesi Tenggara,91.0,43.65,10.0,9.36,12.48,2.47,2.0,1.65,1.9449999999999998,3.0,38.0,1.38,13.0,2.825,3.695,5.15,2.4059999999999997
2020,Sulawesi Utara,95.15,50.925,3.07,13.275,18.96,2.65,2.54,2.04,2.315,7.13,45.35,8.0,15.9,9.0,12.0,9346.0,9.0
2020,Sumatera Barat,109.095,44.61,12.216111111111111,12.885,19.3,1.7,0.975,0.9083333333333333,1.4999999999999998,5.025714285714286,45.33,0.725,15.41,1.52,2.745,1.7316666666666665,2.365
2020,Sumatera Selatan,350.49,48.09,5.4399999999999995,8.24,13.695,1.12,1.29,1.9849999999999999,1.13,3.005,145.1,7.33,21.4,14.44,2.0,1.59,9.142
2020,Sumatera Utara,122.54,37.0,10.99,13.8,16.65,1.0,2.0,0.71,1.0,5.0,11.0,5.4,6.3,7.405,2.675,3.0,2.5
2021,Aceh,69.06,29.615000000000002,15.3,11.55,16.42,4.55,5.359999999999999,3.215,3.35,7.29,13.0,1.85,7.615,5.075,3.5,2.0,2.0
2021,Bali,329.45500000000004,13.151,46.315,8.895,15.389999999999999,2.35,1.4300000000000002,0.7050000000000001,2.033,7.275,265.9475,2.2474999999999996,10.317499999999999,5.736666666666666,4.932499999999999,2.15,2.0187500000000003
2021,Banten,614.97,42.614999999999995,12.0,10.124166666666666,17.09958333333333,1.4300000000000002,2.2880000000000003,0.8,0.925,5.0,454.23125000000005,14.848749999999999,16.165,50.3,43.92,44.09,56.343333333333334
2021,Bengkulu,106.76,45.0,35.0,7.0,8.0,4.0,0.5,1.2,0.5,3.0,4.25,2.8449999999999998,11.93,6.36,3.99,1.59,3.0725
2021,DKI Jakarta,1971.5500000000002,49.87,3.18,17.24,22.95,1.08,0.9,0.7,1.48,2.6,20.7,215.365,63.0,83.63,0.0,141.27,11.6
2021,Daerah Istimewa Yogyakarta,252.26999999999998,58.69500000000001,10.91,9.39,14.004999999999999,1.9,0.445,0.13,5.885,8.32,90.53,2.13,15.83,72.43,37.8,1.07,1.91
2021,Gorontalo,141.21,21.0,10.0,10.0,30.0,8.0,5.0,7.0,9.0,5.2,33.0,15.0,1700.0,21.0,10.0,4.0,1.5
2021,Jambi,198.75,40.0,5.0,11.0,5.9,1.8,1.0,5.0,1.0,5.61,30.0,2.45,30.0,5.0,6.27,3.79,36.425
2021,Jawa Barat,673.76,44.52,6.16375,13.12,16.7,0.9,2.5,0.69,1.0,7.24,242.58,23.0,94.9,58.0,28.8,23.0,23.5
2021,Jawa Tengah,500.17,36.0,9.5,10.18,17.9,1.22,2.0,1.0,1.795,4.9399999999999995,151.07,10.35,40.305,17.775,14.615,14.0,13.26
2021,Jawa Timur,356.72,48.85,4.0,8.3,13.0,1.075,2.0,1.2894999999999999,1.0,6.369999999999999,72.11,0.66,14.7,1.4,5.0,4.529999999999999,8.25
2021,Kalimantan Barat,259.895,48.105000000000004,9.605,9.465,16.05,0.3,1.0,0.9,2.48,13.195,258.03999999999996,0.5800000000000001,18.88,8.03,4.375,15.995000000000001,2.085
2021,Kalimantan Selatan,101.32,50.24,4.2,10.5,14.62,1.36,1.05,0.81,1.47,2.0,37.5,3.55,18.78,6.72,4.71,4.0,1.38
2021,Kalimantan Tengah,81.46,30.0,12.0,13.31,25.0,2.0,2.41,2.18,1.79,4.0,38.1,3.7750000000000004,8.0,6.5575,2.82,1.4240000000000002,10.684999999999999
2021,Kalimantan Timur,212.22,46.13,6.0,10.43,18.0,2.0,1.0,0.67,1.75,0.95,71.47500000000001,5.06,10.31,5.73,5.015,6.28,3.0
2021,Kalimantan Utara,41.81,46.4,8.2,23.4,21.3,0.2,0.2,0.1,0.1,0.1,11.24,0.29,1.69,1.3760000000000001,0.89,0.22999999999999998,0.12
2021,Kepulauan Bangka Belitung,81.17,39.85,13.96,7.2,14.4,3.37,3.1,2.0,4.99,6.8,45.1225,4.18,12.9175,6.505000000000001,4.3,6.2,7.65
2021,Kepulauan Riau,118.655,30.33,12.2,23.945,19.25,2.35,3.875,3.05,2.1,2.9,46.355,5.95,14.4,13.700000000000001,21.224999999999998,16.365,1.885
2021,Lampung,245.98,40.4,19.0,8.92,16.8,4.0,2.5,2.0,2.3,1.34,138.6,4.2,17.3,18.1,6.3,5.0,8.5
2021,Maluku,42.339999999999996,20.75,19.75,10.9,19.4,3.8,5.15,4.0,4.35,11.9,5.11,0.655,8.754999999999999,5.21,1.935,10.0,3.025
2021,Maluku Utara,46.12,34.0,25.0,12.0,11.8,2.3,0.8,1.5,5.8,6.8,36.32,6.36,18.16,13.62,9.06,5.47,1.82
2021,Nusa Tenggara Barat,263.98,38.21,8.18,7.0,19.0,6.0,2.0,2.0,4.0,2.0,134.92,5.28,15.0,5.19,10.73,7.92,12.97
2021,Nusa Tenggara Timur,151.78,31.645,16.75,18.655,15.8,3.825,3.135,1.425,2.7350000000000003,6.03,82.555,8.81,23.865000000000002,20.845,15.150000000000002,4.705,5.595
2021,Papua,63.035000000000004,34.095,10.5,10.0,17.865000000000002,4.109999999999999,2.2199999999999998,2.3049999999999997,2.856,2.9837499999999997,46.79600000000001,3.73,13.517,9.61,5.0,3.5970000000000004,3.01
2021,Papua Barat,160.02,44.0,8.5,11.0,26.0,7.5,5.0,7.5,3.75,19.0,131.7,4.7,19.8,4.4,4.12,3.0,2.7650000000000006
2021,Riau,325.845,52.375,5.125,7.835,18.0,1.9583333333333335,1.5,2.1916666666666664,2.7750000000000004,10.763333333333332,18.7,2.3,10.85,1.05,2.1999999999999997,2.8,1.0
2021,Sulawesi Barat,129.565,41.56,11.3625,15.3275,19.3,5.9,0.45,0.35,0.27,5.005000000000001,109.74,5.31,8.716666666666667,8.9,19.47,14.372499999999999,7.74
2021,Sulawesi Selatan,128.0,41.03,11.35,10.1,14.68,3.75,1.5,2.0,1.55,2.65,46.2,5.14,15.9,10.30909090909091,4.56,6.058,3.8
2021,Sulawesi Tengah,121.64,35.0,10.0,20.0,13.0,6.0,3.0,3.0,3.0,7.0,3.0,0.5,2.0,1.5,1.69,1.0,1.0
2021,Sulawesi Tenggara,264.5,43.65,17.44,16.78,17.25,1.54,0.72,1.06,1.16,0.4,163.02,8.12,18.78,2.18,2.45,5.23,1.58
2021,Sulawesi Utara,71.16499999999999,41.89,7.34,11.9,19.275,2.25,3.45,2.045,2.0,7.11,41.635,6.043333333333333,10.836666666666668,7.1850000000000005,14.378333333333334,5.0,5.506666666666667
2021,Sumatera Barat,98.8,45.66,11.37,11.42,21.54,1.0,0.95,0.738,1.7999999999999998,8.543999999999999,56.72333333333333,0.51,9.29,1.54,3.33,0.19999999999999998,1.175
2021,Sumatera Selatan,264.48,51.25,9.4,8.69,17.34,2.5,2.083,1.346,1.85,2.205,102.8,13.205,39.45,14.5,6.75,15.17,4.0
2021,Sumatera Utara,229.91000000000003,26.319545454545455,13.388181818181819,12.9,15.825,5.0,3.1399999999999997,2.0,5.046818181818182,10.5,42.52,5.4,21.17,7.0,6.0,10.125555555555556,9.3
2022,Aceh,77.67,32.4,14.0,11.0,20.0,3.3,3.5,3.0,2.5,5.4,19.3,3.78,10.0,7.0,3.0,2.2,2.0
2022,Bali,311.54,16.0,47.94,6.34,14.0,1.0,0.8999999999999999,1.0,0.95,3.06,90.04,13.959999999999999,9.9,2.95,4.635,4.55,3.75
2022,Banten,782.05,39.075,13.04,11.59,17.98,1.31,2.2880000000000003,0.8,0.925,4.755,292.89,14.6,21.825,59.537,48.50299999999999,46.95125,48.78666666666667
2022,Bengkulu,105.25,59.0,8.57,8.56,9.0,5.1,0.89,1.6,1.0,3.0,17.72,2.8449999999999998,10.07,4.53,3.095,1.175,3.245
2022,DKI Jakarta,17.89,25.5,31.59,12.17,19.18,1.27,0.74,0.44,2.03,7.08,5.14,0.0,63.0,83.63,0.0,141.27,11.6
2022,Daerah Istimewa Yogyakarta,371.265,50.885000000000005,11.75,14.84,28.73,1.05,0.305,0.42499999999999993,0.9,2.1433333333333335,80.08,0.64,12.561666666666667,31.765,4.3,4.27,10.514999999999999
2022,Gorontalo,100.28999999999999,24.175,16.5,15.205,27.849999999999998,1.9166666666666665,2.0,3.0,1.7000000000000002,4.65,32.09,3.0549999999999997,12.254999999999999,4.664999999999999,4.41,1.6666666666666665,6.29
2022,Jambi,158.51,24.0,11.182500000000001,11.2,23.39,1.8,1.5,3.0,0.8899999999999999,3.9525,19.92,1.5,18.7,5.0,3.0,2.77,5.39
2022,Jawa Barat,671.9300000000001,40.0,9.48,11.559999999999999,16.865000000000002,1.5,2.875,1.0,1.7,6.0,352.75,13.955,30.634999999999998,81.3,30.345,24.0,7.775
2022,Jawa Tengah,430.265,38.15,6.0,9.995000000000001,17.72,1.655,2.3099999999999996,1.9100000000000001,1.5,4.0,141.22,10.73,50.42,24.2,20.335,18.765,13.26
2022,Jawa Timur,376.09,50.0,8.2,9.12,14.97,1.0,1.94,1.0699999999999998,1.24,4.8,99.5,3.82,21.9,7.29,10.89,15.74,14.6
2022,Kalimantan Barat,133.33,40.0,5.6,12.8,25.0,2.2,1.255,2.56,2.145,11.0,108.35,0.545,15.59,8.205,4.375,15.995000000000001,2.085
2022,Kalimantan Selatan,102.76,52.5,7.33,10.5,20.61,2.06,1.9,1.0,2.23,8.46,40.0,5.08,18.89,10.5,5.15,5.0,4.43
2022,Kalimantan Tengah,67.67,30.0,10.0,10.0,25.0,2.0,2.36,2.18,1.895,8.5,32.5,5.6,7.0,7.8999999999999995,4.064285714285715,3.05,9.502857142857142
2022,Kalimantan Timur,136.44,50.0,5.0,10.26,19.9,2.1,1.0,0.67,1.0,1.0,73.875,3.185,7.285,5.3,3.85,9.0,2.0
2022,Kalimantan Utara,42.68,46.4,8.2,23.4,21.3,0.2,0.2,0.1,0.1,0.1,11.24,0.29,1.69,1.376,0.89,0.22999999999999998,0.12
2022,Kepulauan Bangka Belitung,77.97999999999999,40.875,15.39,4.4,16.985,2.685,2.3449999999999998,2.086666666666667,2.355,10.4,43.141666666666666,2.2933333333333334,12.653333333333332,4.18,3.8216666666666663,6.596666666666666,7.331666666666667
2022,Kepulauan Riau,55.92,41.0,13.6,24.0,16.4,1.8,2.5,3.2,1.9,0.3,20.5,5.58,11.3,6.1,5.1,3.0,0.3
2022,Lampung,192.02,50.0,15.0,9.4,20.0,1.0,1.0,0.27,1.0,7.630000000000001,160.7825,4.785,18.4575,7.2,3.9724999999999997,5.8,2.745
2022,Maluku,31.11,39.0,18.0,14.0,22.0,1.0,1.0,1.0,1.0,3.0,5.43,0.41,2.51,9.92,1.6,6.859999999999999,1.05
2022,Maluku Utara,92.33,27.0,10.475,17.174999999999997,28.795,12.045,4.19,0.89,2.08,0.93,75.41499999999999,6.705,14.335,8.555,5.165,3.235,3.9400000000000004
2022,Nusa Tenggara Barat,274.18499999999995,37.105000000000004,14.565999999999999,8.0,17.0,6.5,2.189,2.0,3.441,9.981,151.242,9.971,25.293,18.426000000000002,17.256,12.729,12.925
2022,Nusa Tenggara Timur,133.75,28.5,25.0,14.0,20.5,4.0,2.5,1.5,3.75,8.5,70.0,9.76,12.0,10.0,5.0,3.0,4.38
2022,Papua,42.535,11.370000000000001,10.0,21.0,22.25,10.0,5.0,10.0,5.0,5.0,25.795,6.68,17.275,6.75,11.5,5.0,5.0
2022,Papua Barat,94.405,27.0,15.0,15.5,25.5,10.0,5.0,10.0,5.0,19.0,73.525,9.0,11.135,3.7,2.56,1.0,0.53
2022,Papua Barat Daya,75.49,25.433333333333334,15.410000000000002,15.353333333333333,23.790000000000003,6.21,4.239999999999999,2.0,2.8966666666666665,5.333333333333333,1.38,1.0,2.0,1.0,2.0,1.0,4.0
2022,Papua Pegunungan,113.0,22.0,10.0,10.0,25.0,7.0,10.0,3.0,10.0,3.0,8.0,5.0,6.0,5.0,1.0,0.5,0.5
2022,Papua Selatan,45.41,20.0,13.0,15.0,19.6,1.0,2.4,2.0,1.8,2.1,29.0,2.0,12.425,3.0,1.0,1.815,0.9
2022,Papua Tengah,47.13,10.0,60.0,3.0,15.0,5.0,1.0,0.2,0.2,0.1,2.0,2.0,3.0,2.0,3.0,1.0,0.5
2022,Riau,259.885,34.75,8.75,10.0,20.1,2.135,3.81,2.0,2.395,14.5,73.21666666666667,3.25,9.0,3.0,3.35,6.3500000000000005,2.0
2022,Sulawesi Barat,129.565,41.56,11.3625,15.3275,19.3,5.9,0.45,0.35,0.27,5.005000000000001,109.74,5.31,8.716666666666667,8.9,19.47,14.372499999999999,7.74
2022,Sulawesi Selatan,124.74000000000001,46.0,11.115,10.55,14.84,3.13,1.6857142857142855,2.125,1.7343333333333333,2.49,33.25,4.49,14.1,5.0,3.9,3.52,3.46
2022,Sulawesi Tengah,121.19,33.0,11.37,13.0,15.0,6.0,3.0,3.0,2.0,7.0,14.12,1.5,3.17,7.9,2.64,1.9049999999999998,1.1
2022,Sulawesi Tenggara,81.98,40.0,6.1,8.549999999999999,12.48,1.77,1.9183333333333332,1.505,1.9449999999999998,2.0,41.26,5.573333333333333,15.87,6.03,9.0,5.1,2.4059999999999997
2022,Sulawesi Utara,86.2,45.1,12.0,11.8,16.35,2.402,3.33,2.35,2.35,6.5,27.5,2.0,6.975,5.795,3.33,7.0,5.045
2022,Sumatera Barat,123.235,45.85,10.0,12.39,18.86,1.83,0.91,0.8,1.735,4.9350000000000005,50.0,1.0,13.0,1.7650000000000001,3.13,0.7,1.08
