run,seed,n_iter_internal,total_time_sec,avg_time_per_iter_sec,final_objective,n_label_aktif,label_aktif,n_label_0,n_label_1,n_label_2,n_label_3
89,131,500,0.5565351000986993,0.0011130702001973987,20.143411454473398,4,"0,1,2,3",48,2,127,77
90,132,500,0.5559253999963403,0.0011118507999926806,20.14340447630457,3,"0,2,3",77,0,50,127
91,133,500,0.556100600049831,0.001112201200099662,20.14341154737766,4,"0,1,2,3",2,48,77,127
92,134,500,0.5570854999823496,0.0011141709999646992,20.143408819715,4,"0,1,2,3",49,77,127,1
93,135,500,0.563865500036627,0.0011277310000732542,20.1434101871137,4,"0,1,2,3",127,1,77,49
94,136,500,0.5511828999733552,0.0011023657999467106,20.143408867372653,4,"0,1,2,3",127,1,77,49
95,137,500,0.552620799979195,0.00110524159995839,20.143407059896866,4,"0,1,2,3",1,127,77,49
96,138,500,0.5522025000536814,0.0011044050001073628,20.14340749636801,4,"0,1,2,3",77,1,49,127
97,139,500,0.550065099960193,0.0011001301999203862,20.143411721629217,4,"0,1,2,3",127,77,2,48
98,140,500,0.5525402000639588,0.0011050804001279176,20.14340979102294,4,"0,1,2,3",1,127,77,49
99,141,500,0.5512896999716759,0.0011025793999433517,20.1434119579015,4,"0,1,2,3",127,77,48,2
100,142,500,0.5599535000510514,0.0011199070001021029,20.143404681670024,3,"0,2,3",50,0,127,77
TOTAL_RUNTIME,,,56.48775339999702,,,,,,,,
