iterasi,objective_value
106,20.14341420192202
107,20.143414057441767
108,20.143413915315037
109,20.143413775494253
110,20.14341363793302
111,20.14341350258608
112,20.143413369409267
113,20.14341323835949
114,20.143413109394704
115,20.143412982473873
116,20.143412857556932
117,20.143412734604787
118,20.14341261357926
119,20.14341249444308
120,20.14341237715984
121,20.143412261694003
122,20.143412148010846
123,20.143412036076448
124,20.143411925857688
125,20.14341181732219
126,20.14341171043833
127,20.143411605175196
128,20.143411501502584
129,20.143411399390963
130,20.143411298811483
131,20.143411199735922
132,20.1434111021367
133,20.143411005986845
134,20.143410911259984
135,20.143410817930313
136,20.143410725972608
137,20.1434106353622
138,20.143410546074943
139,20.143410458087217
140,20.14341037137592
141,20.14341028591844
142,20.143410201692646
143,20.14341011867689
144,20.143410036849968
145,20.143409956191142
146,20.1434098766801
147,20.143409798296954
148,20.143409721022245
149,20.1434096448369
150,20.143409569722262
151,20.143409495660038
152,20.143409422632338
153,20.143409350621614
154,20.143409279610694
155,20.143409209582735
156,20.14340914052126
157,20.14340907241011
158,20.143409005233455
159,20.14340893897578
160,20.14340887362188
161,20.143408809156856
162,20.143408745566106
163,20.143408682835304
164,20.14340862095042
165,20.143408559897697
166,20.14340849966364
167,20.143408440235014
168,20.14340838159886
169,20.14340832374245
170,20.14340826665331
171,20.143408210319194
172,20.143408154728114
173,20.14340809986828
174,20.143408045728155
175,20.1434079922964
176,20.1434079395619
177,20.143407887513742
178,20.14340783614123
179,20.143407785433844
180,20.14340773538129
181,20.14340768597344
182,20.14340763720037
183,20.14340758905232
184,20.14340754151973
185,20.1434074945932
186,20.143407448263513
187,20.143407402521607
188,20.14340735735859
189,20.14340731276574
190,20.143407268734475
191,20.14340722525637
192,20.14340718232317
193,20.143407139926744
194,20.14340709805911
195,20.143407056712434
196,20.143407015879024
197,20.14340697555131
198,20.143406935721863
199,20.143406896383386
200,20.1434068575287
201,20.143406819150762
202,20.14340678124264
203,20.143406743797527
204,20.143406706808744
205,20.143406670269705
206,20.14340663417395
207,20.143406598515124
208,20.143406563286995
209,20.143406528483407
210,20.143406494098336
211,20.143406460125853
212,20.143406426560116
213,20.143406393395395
214,20.143406360626045
215,20.14340632824652
216,20.143406296251378
217,20.143406264635246
218,20.143406233392845
219,20.143406202518996
220,20.14340617200859
221,20.14340614185661
222,20.14340611205812
223,20.143406082608262
224,20.14340605350226
225,20.143406024735405
226,20.14340599630308
227,20.14340596820073
228,20.14340594042388
229,20.14340591296812
230,20.143405885829115
231,20.1434058590026
232,20.143405832484376
233,20.14340580627031
234,20.143405780356336
235,20.14340575473845
236,20.143405729412702
237,20.143405704375226
238,20.143405679622198
239,20.143405655149863
240,20.14340563095451
241,20.143405607032506
242,20.14340558338026
243,20.143405559994243
244,20.143405536870972
245,20.14340551400703
246,20.143405491399037
247,20.143405469043678
248,20.143405446937678
249,20.14340542507782
250,20.143405403460932
251,20.14340538208389
252,20.143405360943618
253,20.143405340037084
254,20.1434053193613
255,20.143405298913333
256,20.143405278690278
257,20.14340525868928
258,20.143405238907537
259,20.14340521934227
260,20.143405199990752
261,20.1434051808503
262,20.143405161918253
263,20.143405143192005
264,20.143405124668988
265,20.14340510634666
266,20.14340508822253
267,20.14340507029413
268,20.143405052559032
269,20.143405035014847
270,20.143405017659223
271,20.143405000489828
272,20.143404983504375
273,20.14340496670061
274,20.143404950076306
275,20.143404933629263
276,20.14340491735733
277,20.143404901258368
278,20.143404885330277
279,20.143404869570986
280,20.143404853978453
281,20.14340483855066
282,20.14340482328562
283,20.14340480818138
284,20.14340479323601
285,20.1434047784476
286,20.143404763814278
287,20.143404749334184
288,20.143404735005497
289,20.14340472082642
290,20.14340470679517
291,20.143404692910003
292,20.14340467916918
293,20.143404665571
294,20.14340465211379
295,20.143404638795886
296,20.14340462561565
297,20.143404612571473
298,20.143404599661757
299,20.14340458688494
300,20.143404574239465
301,20.14340456172381
302,20.14340454933646
303,20.143404537075934
