Run,Metode,k,Xie-Beni,File,File_Membership
24,FRCM,4,9013238.901388688,frcm_k4_run24.csv,frcm_k4_run24.csv
25,FRCM,4,54686351.51361096,frcm_k4_run25.csv,frcm_k4_run25.csv
26,FRCM,4,614127649.6813854,frcm_k4_run26.csv,frcm_k4_run26.csv
27,FRCM,4,202031294.2319844,frcm_k4_run27.csv,frcm_k4_run27.csv
28,FRCM,4,98352503.63073783,frcm_k4_run28.csv,frcm_k4_run28.csv
29,FRCM,4,127484233.91241258,frcm_k4_run29.csv,frcm_k4_run29.csv
30,FRCM,4,33607695.48038633,frcm_k4_run30.csv,frcm_k4_run30.csv
31,FRCM,4,8868735.581073275,frcm_k4_run31.csv,frcm_k4_run31.csv
32,FRCM,4,13346976.019779049,frcm_k4_run32.csv,frcm_k4_run32.csv
33,FRCM,4,34131353.764680736,frcm_k4_run33.csv,frcm_k4_run33.csv
34,FRCM,4,18245636.23821551,frcm_k4_run34.csv,frcm_k4_run34.csv
35,FRCM,4,10825834.671799693,frcm_k4_run35.csv,frcm_k4_run35.csv
36,FRCM,4,33919439.28606411,frcm_k4_run36.csv,frcm_k4_run36.csv
37,FRCM,4,19116477.537984047,frcm_k4_run37.csv,frcm_k4_run37.csv
38,FRCM,4,12237271.338417768,frcm_k4_run38.csv,frcm_k4_run38.csv
39,FRCM,4,33607695.48038633,frcm_k4_run39.csv,frcm_k4_run39.csv
40,FRCM,4,23553179.494827867,frcm_k4_run40.csv,frcm_k4_run40.csv
41,FRCM,4,110352962.46415545,frcm_k4_run41.csv,frcm_k4_run41.csv
42,FRCM,4,63413356.906902745,frcm_k4_run42.csv,frcm_k4_run42.csv
43,FRCM,4,20226660.572939377,frcm_k4_run43.csv,frcm_k4_run43.csv
44,FRCM,4,10614470.687363455,frcm_k4_run44.csv,frcm_k4_run44.csv
45,FRCM,4,96935649.45190391,frcm_k4_run45.csv,frcm_k4_run45.csv
46,FRCM,4,56566682.33112008,frcm_k4_run46.csv,frcm_k4_run46.csv
47,FRCM,4,112109346.05471343,frcm_k4_run47.csv,frcm_k4_run47.csv
48,FRCM,4,94074207.17364061,frcm_k4_run48.csv,frcm_k4_run48.csv
49,FRCM,4,70192126.3794439,frcm_k4_run49.csv,frcm_k4_run49.csv
50,FRCM,4,111980226.01329088,frcm_k4_run50.csv,frcm_k4_run50.csv
51,FRCM,4,117376846.16548638,frcm_k4_run51.csv,frcm_k4_run51.csv
52,FRCM,4,71567735.05469546,frcm_k4_run52.csv,frcm_k4_run52.csv
53,FRCM,4,18107447.55420732,frcm_k4_run53.csv,frcm_k4_run53.csv
54,FRCM,4,36367933.29393199,frcm_k4_run54.csv,frcm_k4_run54.csv
55,FRCM,4,176023208.45664787,frcm_k4_run55.csv,frcm_k4_run55.csv
56,FRCM,4,19062318.54907131,frcm_k4_run56.csv,frcm_k4_run56.csv
57,FRCM,4,30903208.029532332,frcm_k4_run57.csv,frcm_k4_run57.csv
58,FRCM,4,56566682.33112008,frcm_k4_run58.csv,frcm_k4_run58.csv
59,FRCM,4,37765127.09533962,frcm_k4_run59.csv,frcm_k4_run59.csv
60,FRCM,4,10333983.5798442,frcm_k4_run60.csv,frcm_k4_run60.csv
61,FRCM,4,182046948.70362246,frcm_k4_run61.csv,frcm_k4_run61.csv
62,FRCM,4,145095692.1297714,frcm_k4_run62.csv,frcm_k4_run62.csv
63,FRCM,4,13202309.398241831,frcm_k4_run63.csv,frcm_k4_run63.csv
64,FRCM,4,56253539.81129322,frcm_k4_run64.csv,frcm_k4_run64.csv
65,FRCM,4,10182212.369943874,frcm_k4_run65.csv,frcm_k4_run65.csv
66,FRCM,4,24507122.471641902,frcm_k4_run66.csv,frcm_k4_run66.csv
67,FRCM,4,49294599.865339555,frcm_k4_run67.csv,frcm_k4_run67.csv
