run,seed,n_iter_internal,total_time_sec,avg_time_per_iter_sec,final_objective,n_label_aktif,label_aktif,n_lower_objects,n_boundary_objects,avg_active_clusters_per_object,boundary_ratio,max_cluster_ratio,min_cluster_size,max_cluster_size,n_label_0,n_label_1,n_label_2,n_label_3,is_very_imbalanced
36,78,14,0.015185499971266836,0.0010846785693762026,43.50783780500698,4,"0,1,2,3",189,65,1.2716535433070866,0.2559055118110236,0.5354330708661418,20,136,136,20,75,23,False
37,79,21,0.022954199986997992,0.0010930571422379995,44.53830365072793,4,"0,1,2,3",194,60,1.2480314960629921,0.23622047244094488,0.5354330708661418,21,136,75,136,21,22,False
38,80,18,0.021517000044696033,0.0011953888913720017,50.39394047398374,4,"0,1,2,3",184,70,1.2755905511811023,0.2755905511811024,0.531496062992126,2,135,135,2,96,21,False
39,81,29,0.030288300011307,0.001044424138320931,45.37324758626971,4,"0,1,2,3",228,26,1.110236220472441,0.10236220472440945,0.7125984251968503,13,181,13,181,35,25,False
40,82,12,0.011513599951285869,0.0009594666626071557,44.4856901735657,4,"0,1,2,3",214,40,1.1614173228346456,0.15748031496062992,0.6811023622047244,13,173,43,173,25,13,False
41,83,14,0.015384300029836595,0.0010988785735597567,43.59226553592667,4,"0,1,2,3",188,66,1.2755905511811023,0.25984251968503935,0.5275590551181102,20,134,20,23,77,134,False
42,84,10,0.009522600041236728,0.0009522600041236729,45.373247586269066,4,"0,1,2,3",228,26,1.110236220472441,0.10236220472440945,0.7125984251968503,13,181,35,13,181,25,False
43,85,23,0.02270390000194311,0.0009871260870410049,45.373247586268576,4,"0,1,2,3",228,26,1.110236220472441,0.10236220472440945,0.7125984251968503,13,181,13,181,25,35,False
44,86,12,0.013287500012665987,0.0011072916677221656,44.50077038406712,4,"0,1,2,3",194,60,1.2480314960629921,0.23622047244094488,0.531496062992126,20,135,135,23,76,20,False
45,87,14,0.013569400005508214,0.000969242857536301,47.46262342703362,4,"0,1,2,3",210,44,1.1771653543307086,0.1732283464566929,0.6968503937007874,2,177,51,24,177,2,False
