Tahun,Provinsi,label
2023,Bengkulu,1
2023,DKI Jakarta,1
2023,Daerah Istimewa Yogyakarta,1
2023,Gorontalo,3
2023,Jambi,1
2023,Jawa Barat,1
2023,Jawa Tengah,1
2023,Jawa Timur,1
2023,Kalimantan Barat,1
2023,Kalimantan Selatan,1
2023,Kalimantan Tengah,0
2023,Kalimantan Timur,1
2023,Kalimantan Utara,1
2023,Kepulauan Bangka Belitung,0
2023,Kepulauan Riau,1
2023,Lampung,1
2023,Maluku,3
2023,Maluku Utara,0
2023,Nusa Tenggara Barat,0
2023,Nusa Tenggara Timur,3
2023,Papua,3
2023,Papua Barat,3
2023,Papua Barat Daya,3
2023,Papua Pegunungan,3
2023,Papua Selatan,3
2023,Papua Tengah,3
2023,Riau,3
2023,Sulawesi Barat,1
2023,Sulawesi Selatan,1
2023,Sulawesi Tengah,3
2023,Sulawesi Tenggara,1
2023,Sulawesi Utara,0
2023,Sumatera Barat,1
2023,Sumatera Selatan,1
2023,Sumatera Utara,3
2024,Aceh,3
2024,Bali,0
2024,Banten,1
2024,Bengkulu,1
2024,DKI Jakarta,1
2024,Daerah Istimewa Yogyakarta,1
2024,Gorontalo,3
2024,Jambi,1
2024,Jawa Barat,1
2024,Jawa Tengah,1
2024,Jawa Timur,1
2024,Kalimantan Barat,1
2024,Kalimantan Selatan,1
2024,Kalimantan Tengah,0
2024,Kalimantan Timur,1
2024,Kalimantan Utara,1
2024,Kepulauan Bangka Belitung,0
2024,Kepulauan Riau,1
2024,Lampung,1
2024,Maluku,3
2024,Maluku Utara,0
2024,Nusa Tenggara Barat,3
2024,Nusa Tenggara Timur,3
2024,Papua,3
2024,Papua Barat,3
2024,Papua Barat Daya,3
2024,Papua Pegunungan,3
2024,Papua Selatan,3
2024,Papua Tengah,3
2024,Riau,0
2024,Sulawesi Barat,0
2024,Sulawesi Selatan,1
2024,Sulawesi Tengah,3
2024,Sulawesi Tenggara,1
2024,Sulawesi Utara,0
2024,Sumatera Barat,1
2024,Sumatera Selatan,0
2024,Sumatera Utara,2
2025,Aceh,3
2025,Bali,0
2025,Banten,3
2025,Bengkulu,0
2025,DKI Jakarta,1
2025,Daerah Istimewa Yogyakarta,1
2025,Gorontalo,0
2025,Jambi,0
2025,Jawa Barat,1
2025,Jawa Tengah,1
2025,Jawa Timur,1
2025,Kalimantan Barat,1
2025,Kalimantan Selatan,1
2025,Kalimantan Tengah,2
2025,Kalimantan Timur,1
2025,Kalimantan Utara,1
2025,Kepulauan Bangka Belitung,1
2025,Kepulauan Riau,1
2025,Lampung,1
2025,Maluku,3
2025,Maluku Utara,0
2025,Nusa Tenggara Barat,3
2025,Nusa Tenggara Timur,3
2025,Papua,3
2025,Papua Barat,3
2025,Papua Barat Daya,1
2025,Papua Pegunungan,3
2025,Papua Selatan,3
2025,Papua Tengah,3
2025,Riau,1
2025,Sulawesi Barat,1
2025,Sulawesi Selatan,0
2025,Sulawesi Tengah,3
2025,Sulawesi Tenggara,1
2025,Sulawesi Utara,0
2025,Sumatera Barat,1
2025,Sumatera Selatan,1
2025,Sumatera Utara,1
