Run,Metode,k,Silhouette,File
14,FRCM,4,0.31522196640973404,frcm_k4_run14.csv
15,FRCM,4,0.20149156413499897,frcm_k4_run15.csv
16,FRCM,4,0.20149156413499897,frcm_k4_run16.csv
17,FRCM,4,0.30620561565133003,frcm_k4_run17.csv
18,FRCM,4,0.19980314882716713,frcm_k4_run18.csv
19,FRCM,4,0.32568256708092913,frcm_k4_run19.csv
20,FRCM,4,0.2000428115604672,frcm_k4_run20.csv
21,FRCM,4,0.31508081944085287,frcm_k4_run21.csv
22,FRCM,4,0.32568256708092913,frcm_k4_run22.csv
23,FRCM,4,0.19980314882716713,frcm_k4_run23.csv
24,FRCM,4,0.27536074398724586,frcm_k4_run24.csv
25,FRCM,4,0.2913256920504127,frcm_k4_run25.csv
26,FRCM,4,0.15445684248888167,frcm_k4_run26.csv
27,FRCM,4,0.15445684248888167,frcm_k4_run27.csv
28,FRCM,4,0.19980314882716713,frcm_k4_run28.csv
29,FRCM,4,0.32568256708092913,frcm_k4_run29.csv
30,FRCM,4,0.32568256708092913,frcm_k4_run30.csv
31,FRCM,4,0.2000428115604672,frcm_k4_run31.csv
32,FRCM,4,0.24102534064514197,frcm_k4_run32.csv
33,FRCM,4,0.16817195618349873,frcm_k4_run33.csv
34,FRCM,4,0.20229700301771342,frcm_k4_run34.csv
35,FRCM,4,0.14940237903670806,frcm_k4_run35.csv
36,FRCM,4,0.20229700301771342,frcm_k4_run36.csv
37,FRCM,4,0.19980853018304381,frcm_k4_run37.csv
38,FRCM,4,0.1659739081263044,frcm_k4_run38.csv
39,FRCM,4,0.32568256708092913,frcm_k4_run39.csv
40,FRCM,4,0.31508081944085287,frcm_k4_run40.csv
41,FRCM,4,0.20024872196455698,frcm_k4_run41.csv
42,FRCM,4,0.32568256708092913,frcm_k4_run42.csv
43,FRCM,4,0.32568256708092913,frcm_k4_run43.csv
44,FRCM,4,0.20149156413499897,frcm_k4_run44.csv
45,FRCM,4,0.27724451824426716,frcm_k4_run45.csv
46,FRCM,4,0.20149156413499897,frcm_k4_run46.csv
47,FRCM,4,0.30620561565133003,frcm_k4_run47.csv
48,FRCM,4,0.15299893444988102,frcm_k4_run48.csv
49,FRCM,4,0.32568256708092913,frcm_k4_run49.csv
50,FRCM,4,0.20149156413499897,frcm_k4_run50.csv
51,FRCM,4,0.31508081944085287,frcm_k4_run51.csv
52,FRCM,4,0.19980314882716713,frcm_k4_run52.csv
53,FRCM,4,0.2000428115604672,frcm_k4_run53.csv
54,FRCM,4,0.2005346351838395,frcm_k4_run54.csv
55,FRCM,4,0.20149156413499897,frcm_k4_run55.csv
56,FRCM,4,0.19980314882716713,frcm_k4_run56.csv
57,FRCM,4,0.20149156413499897,frcm_k4_run57.csv
58,FRCM,4,0.20149156413499897,frcm_k4_run58.csv
59,FRCM,4,0.19980314882716713,frcm_k4_run59.csv
60,FRCM,4,0.2005346351838395,frcm_k4_run60.csv
61,FRCM,4,0.19980314882716713,frcm_k4_run61.csv
62,FRCM,4,0.20229700301771342,frcm_k4_run62.csv
63,FRCM,4,0.32568256708092913,frcm_k4_run63.csv
64,FRCM,4,0.2000428115604672,frcm_k4_run64.csv
65,FRCM,4,0.31508081944085287,frcm_k4_run65.csv
66,FRCM,4,0.32568256708092913,frcm_k4_run66.csv
67,FRCM,4,0.19980314882716713,frcm_k4_run67.csv
68,FRCM,4,0.30620561565133003,frcm_k4_run68.csv
69,FRCM,4,0.30696322362425527,frcm_k4_run69.csv
70,FRCM,4,0.30620561565133003,frcm_k4_run70.csv
71,FRCM,4,0.27483965350122347,frcm_k4_run71.csv
72,FRCM,4,0.2887152696216852,frcm_k4_run72.csv
73,FRCM,4,0.20229700301771342,frcm_k4_run73.csv
74,FRCM,4,0.32568256708092913,frcm_k4_run74.csv
75,FRCM,4,0.1897561038779831,frcm_k4_run75.csv
76,FRCM,4,0.27724451824426716,frcm_k4_run76.csv
77,FRCM,4,0.19980314882716713,frcm_k4_run77.csv
78,FRCM,4,0.31508081944085287,frcm_k4_run78.csv
79,FRCM,4,0.19980853018304381,frcm_k4_run79.csv
80,FRCM,4,0.31508081944085287,frcm_k4_run80.csv
81,FRCM,4,0.30620561565133003,frcm_k4_run81.csv
82,FRCM,4,0.18889640437342747,frcm_k4_run82.csv
83,FRCM,4,0.20149156413499897,frcm_k4_run83.csv
84,FRCM,4,0.32568256708092913,frcm_k4_run84.csv
85,FRCM,4,0.20149156413499897,frcm_k4_run85.csv
86,FRCM,4,0.20149156413499897,frcm_k4_run86.csv
87,FRCM,4,0.20149156413499897,frcm_k4_run87.csv
88,FRCM,4,0.32568256708092913,frcm_k4_run88.csv
89,FRCM,4,0.19980853018304381,frcm_k4_run89.csv
90,FRCM,4,0.32568256708092913,frcm_k4_run90.csv
91,FRCM,4,0.30620561565133003,frcm_k4_run91.csv
92,FRCM,4,0.32568256708092913,frcm_k4_run92.csv
93,FRCM,4,0.32568256708092913,frcm_k4_run93.csv
94,FRCM,4,0.19998578633409284,frcm_k4_run94.csv
95,FRCM,4,0.32568256708092913,frcm_k4_run95.csv
96,FRCM,4,0.28116449371077096,frcm_k4_run96.csv
97,FRCM,4,0.19980314882716713,frcm_k4_run97.csv
98,FRCM,4,0.31508081944085287,frcm_k4_run98.csv
99,FRCM,4,0.19980314882716713,frcm_k4_run99.csv
100,FRCM,4,0.30620561565133003,frcm_k4_run100.csv
1,FA-FRCM,3,0.1324291241923619,fafrcm_k3_run1.csv
2,FA-FRCM,3,0.2756465377835414,fafrcm_k3_run2.csv
3,FA-FRCM,3,0.27389608437670115,fafrcm_k3_run3.csv
4,FA-FRCM,3,0.15588263448629963,fafrcm_k3_run4.csv
5,FA-FRCM,3,0.1324291241923619,fafrcm_k3_run5.csv
6,FA-FRCM,3,0.3137755738774639,fafrcm_k3_run6.csv
7,FA-FRCM,3,0.1486922847743162,fafrcm_k3_run7.csv
8,FA-FRCM,3,0.15588263448629963,fafrcm_k3_run8.csv
9,FA-FRCM,3,0.15366311994669224,fafrcm_k3_run9.csv
10,FA-FRCM,3,0.3137755738774639,fafrcm_k3_run10.csv
11,FA-FRCM,3,0.27389608437670115,fafrcm_k3_run11.csv
12,FA-FRCM,3,0.27389608437670115,fafrcm_k3_run12.csv
13,FA-FRCM,3,0.28501090335633067,fafrcm_k3_run13.csv
14,FA-FRCM,3,0.3137755738774639,fafrcm_k3_run14.csv
15,FA-FRCM,3,0.12843899872602169,fafrcm_k3_run15.csv
16,FA-FRCM,3,0.30911169693217433,fafrcm_k3_run16.csv
17,FA-FRCM,3,0.27389608437670115,fafrcm_k3_run17.csv
18,FA-FRCM,3,0.11623939339972937,fafrcm_k3_run18.csv
19,FA-FRCM,3,0.2756465377835414,fafrcm_k3_run19.csv
20,FA-FRCM,3,0.2667415764088296,fafrcm_k3_run20.csv
21,FA-FRCM,3,0.2756465377835414,fafrcm_k3_run21.csv
22,FA-FRCM,3,0.3052031292677924,fafrcm_k3_run22.csv
23,FA-FRCM,3,0.15366311994669224,fafrcm_k3_run23.csv
24,FA-FRCM,3,0.24773847590231746,fafrcm_k3_run24.csv
25,FA-FRCM,3,0.27389608437670115,fafrcm_k3_run25.csv
26,FA-FRCM,3,0.12953293862072443,fafrcm_k3_run26.csv
27,FA-FRCM,3,0.1324291241923619,fafrcm_k3_run27.csv
28,FA-FRCM,3,0.15366311994669224,fafrcm_k3_run28.csv
29,FA-FRCM,3,0.24773847590231746,fafrcm_k3_run29.csv
30,FA-FRCM,3,0.12843899872602169,fafrcm_k3_run30.csv
31,FA-FRCM,3,0.2756465377835414,fafrcm_k3_run31.csv
32,FA-FRCM,3,0.3052031292677924,fafrcm_k3_run32.csv
33,FA-FRCM,3,0.15588263448629963,fafrcm_k3_run33.csv
34,FA-FRCM,3,0.3137755738774639,fafrcm_k3_run34.csv
35,FA-FRCM,3,0.15366311994669224,fafrcm_k3_run35.csv
36,FA-FRCM,3,0.12583448250442492,fafrcm_k3_run36.csv
37,FA-FRCM,3,0.27389608437670115,fafrcm_k3_run37.csv
38,FA-FRCM,3,0.30826416331225803,fafrcm_k3_run38.csv
39,FA-FRCM,3,0.2756465377835414,fafrcm_k3_run39.csv
40,FA-FRCM,3,0.3137755738774639,fafrcm_k3_run40.csv
41,FA-FRCM,3,0.27389608437670115,fafrcm_k3_run41.csv
42,FA-FRCM,3,0.1324291241923619,fafrcm_k3_run42.csv
43,FA-FRCM,3,0.2756465377835414,fafrcm_k3_run43.csv
44,FA-FRCM,3,0.15588263448629963,fafrcm_k3_run44.csv
45,FA-FRCM,3,0.24569716659268023,fafrcm_k3_run45.csv
46,FA-FRCM,3,0.1324291241923619,fafrcm_k3_run46.csv
47,FA-FRCM,3,0.27389608437670115,fafrcm_k3_run47.csv
48,FA-FRCM,3,0.2620618779532234,fafrcm_k3_run48.csv
49,FA-FRCM,3,0.2756465377835414,fafrcm_k3_run49.csv
50,FA-FRCM,3,0.15366311994669224,fafrcm_k3_run50.csv
51,FA-FRCM,3,0.1324291241923619,fafrcm_k3_run51.csv
52,FA-FRCM,3,0.15366311994669224,fafrcm_k3_run52.csv
53,FA-FRCM,3,0.3137755738774639,fafrcm_k3_run53.csv
54,FA-FRCM,3,0.28501090335633067,fafrcm_k3_run54.csv
55,FA-FRCM,3,0.15366311994669224,fafrcm_k3_run55.csv
56,FA-FRCM,3,0.27389608437670115,fafrcm_k3_run56.csv
57,FA-FRCM,3,0.1324291241923619,fafrcm_k3_run57.csv
58,FA-FRCM,3,0.15366311994669224,fafrcm_k3_run58.csv
59,FA-FRCM,3,0.12583448250442492,fafrcm_k3_run59.csv
60,FA-FRCM,3,0.11623939339972937,fafrcm_k3_run60.csv
61,FA-FRCM,3,0.16097137403526177,fafrcm_k3_run61.csv
62,FA-FRCM,3,0.12843899872602169,fafrcm_k3_run62.csv
63,FA-FRCM,3,0.27389608437670115,fafrcm_k3_run63.csv
64,FA-FRCM,3,0.12843899872602169,fafrcm_k3_run64.csv
65,FA-FRCM,3,0.11623939339972937,fafrcm_k3_run65.csv
66,FA-FRCM,3,0.28501090335633067,fafrcm_k3_run66.csv
67,FA-FRCM,3,0.30826416331225803,fafrcm_k3_run67.csv
68,FA-FRCM,3,0.30826416331225803,fafrcm_k3_run68.csv
69,FA-FRCM,3,0.2515418786928117,fafrcm_k3_run69.csv
70,FA-FRCM,3,0.15588263448629963,fafrcm_k3_run70.csv
71,FA-FRCM,3,0.2764398815775671,fafrcm_k3_run71.csv
72,FA-FRCM,3,0.15366311994669224,fafrcm_k3_run72.csv
73,FA-FRCM,3,0.11623939339972937,fafrcm_k3_run73.csv
74,FA-FRCM,3,0.15588263448629963,fafrcm_k3_run74.csv
75,FA-FRCM,3,0.30826416331225803,fafrcm_k3_run75.csv
76,FA-FRCM,3,0.15588263448629963,fafrcm_k3_run76.csv
77,FA-FRCM,3,0.12843899872602169,fafrcm_k3_run77.csv
78,FA-FRCM,3,0.2756465377835414,fafrcm_k3_run78.csv
79,FA-FRCM,3,0.30826416331225803,fafrcm_k3_run79.csv
80,FA-FRCM,3,0.2756465377835414,fafrcm_k3_run80.csv
81,FA-FRCM,3,0.2756465377835414,fafrcm_k3_run81.csv
82,FA-FRCM,3,0.30826416331225803,fafrcm_k3_run82.csv
83,FA-FRCM,3,0.27389608437670115,fafrcm_k3_run83.csv
84,FA-FRCM,3,0.12843899872602169,fafrcm_k3_run84.csv
85,FA-FRCM,3,0.1324291241923619,fafrcm_k3_run85.csv
86,FA-FRCM,3,0.15366311994669224,fafrcm_k3_run86.csv
87,FA-FRCM,3,0.30826416331225803,fafrcm_k3_run87.csv
88,FA-FRCM,3,0.2667415764088296,fafrcm_k3_run88.csv
89,FA-FRCM,3,0.15366311994669224,fafrcm_k3_run89.csv
90,FA-FRCM,3,0.27389608437670115,fafrcm_k3_run90.csv
91,FA-FRCM,3,0.15366311994669224,fafrcm_k3_run91.csv
92,FA-FRCM,3,0.28501090335633067,fafrcm_k3_run92.csv
93,FA-FRCM,3,0.30826416331225803,fafrcm_k3_run93.csv
94,FA-FRCM,3,0.27389608437670115,fafrcm_k3_run94.csv
95,FA-FRCM,3,0.28501090335633067,fafrcm_k3_run95.csv
96,FA-FRCM,3,0.25038345845369,fafrcm_k3_run96.csv
97,FA-FRCM,3,0.11623939339972937,fafrcm_k3_run97.csv
98,FA-FRCM,3,0.2756465377835414,fafrcm_k3_run98.csv
99,FA-FRCM,3,0.27389608437670115,fafrcm_k3_run99.csv
100,FA-FRCM,3,0.2756465377835414,fafrcm_k3_run100.csv
