N_FIREFLIES,MAX_ITER_FA,ALPHA0,THETA,BETA0,GAMMA,avg_final_objective,std_final_objective,avg_max_cluster_ratio,std_max_cluster_ratio,avg_boundary_ratio,n_imbalanced_runs,score_select
28,1000,1.0,0.9698497430183866,0.7413298788254605,0.25999417443886924,47.22977797411309,2.0825856066292,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
30,1000,1.0,0.9803072500258561,0.8570420645293739,0.4199988463166958,47.22977797411309,2.0825856066292,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
29,1000,1.0,0.9791014905071366,0.8508405234160354,0.4015074742592848,47.22977797411309,2.0825856066292,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
28,1000,1.0,0.9742119769989416,1.006745757004625,0.5027038508990491,47.22977797411309,2.0825856066292,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
24,1000,1.0,0.9667544334789383,1.5979965700071297,0.3087261726204779,47.22977797411309,2.082585606629201,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
27,1000,1.0,0.9693367204619379,1.2701063812288618,0.3941567540687638,47.22977797411309,2.0825856066292,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
22,1000,1.0,0.9759358313360176,1.3841867112461281,0.2458427339745946,47.22977797411309,2.082585606629201,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
26,1000,1.0,0.9656349622366444,1.4358757800673327,0.33025629513723054,47.22977797411309,2.082585606629201,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
28,1000,1.0,0.9708830859622621,1.4335074882158423,1.9939421655942382,47.22977797411309,2.0825856066292,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
23,1000,1.0,0.9623751498441223,1.0287814475284502,0.23756700289537258,47.22977797411309,2.082585606629201,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
27,1000,1.0,0.9741734879348538,0.9202867774936216,0.34448100159700734,47.22977797411309,2.0825856066292,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
29,1000,1.0,0.9814070384557205,0.7995106732375397,1.077045432985862,47.22977797411309,2.0825856066292,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
27,1000,1.0,0.9880285722563966,1.5979909127171077,1.2374511199743696,47.22977797411309,2.0825856066292,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
30,1000,1.0,0.9765362571444793,1.3597864895841087,0.9971983850176369,47.22977797411309,2.0825856066292,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
26,1000,1.0,0.9848642741522997,1.2819540909775762,0.24139684825012175,47.22977797411309,2.082585606629201,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
22,1000,1.0,0.9639589744450402,1.9990436579623267,1.530961505062463,47.22977797411309,2.082585606629201,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
25,1000,1.0,0.9720341012126755,1.290574544799812,0.29377969677544397,47.22977797411309,2.082585606629201,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
29,1000,1.0,0.9773876025745523,0.8527132575845168,0.2102747109778833,47.22977797411309,2.0825856066292,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
25,1000,1.0,0.9652165808239472,1.1032506435641098,0.5016627248700686,47.22977797411309,2.082585606629201,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
29,1000,1.0,0.9823020330520036,0.5847996976376744,0.36810941897282173,47.22977797411309,2.0825856066292,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
23,1000,1.0,0.9562397808134481,0.5871254182522991,1.745734676972377,47.22977797411309,2.082585606629201,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
24,1000,1.0,0.983402394935335,1.6527880896424518,1.2800981019021602,47.22977797411309,2.082585606629201,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
27,1000,1.0,0.9699205133558855,1.0379473921038174,1.804781977932622,47.22977797411309,2.0825856066292,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
24,1000,1.0,0.9586920933469807,1.5508286418640849,1.4093960636712384,47.22977797411309,2.082585606629201,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
26,1000,1.0,0.9709902572652895,1.1479175279631737,0.6533353663762795,47.22977797411309,2.082585606629201,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
24,1000,1.0,0.9892672485226738,1.1802967335998709,1.9081320468452017,47.22977797411309,2.082585606629201,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
23,1000,1.0,0.9618394380214472,1.4098576696140528,1.265337636310225,47.22977797411309,2.082585606629201,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
28,1000,1.0,0.9760329341473475,0.5237729928851218,1.6239345499763163,47.22977797411309,2.0825856066292,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
26,1000,1.0,0.9539068845602553,1.5263495397682354,0.9362897381052424,47.22977797411309,2.082585606629201,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
25,1000,1.0,0.9562669886155777,1.7572939387581656,1.1491895982235174,47.22977797411309,2.082585606629201,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
23,1000,1.0,0.9711653991893232,1.167972958099361,0.19346259794865878,47.22977797411309,2.082585606629201,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
24,1000,1.0,0.9726142617422598,1.0782384907984042,0.21606984438689794,47.22977797411309,2.082585606629201,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
25,1000,1.0,0.9705839727632251,1.2137881153203338,0.2715337712106153,47.22977797411309,2.082585606629201,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
27,1000,1.0,0.9599823966294355,1.8394399338655316,0.27150295346929404,47.22977797411309,2.0825856066292,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
26,1000,1.0,0.9681277978105503,1.0737996536364491,0.1844777850322608,47.229777974113105,2.0825856066291784,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.694344903246964
27,1000,1.0,0.9717212657556633,1.132514333615028,0.11018647829369448,47.20109729296915,2.228312934304053,0.6496062992125984,0.10345419955488905,0.18031496062992125,0,53.69716028509514
30,1000,1.0,0.9734739124596054,0.9525082505335385,0.1171380594333575,47.296326693474924,2.2006757086925672,0.6535433070866141,0.1083929125821748,0.17559055118110237,0,53.831759764341065
36,1000,1.0,0.9781913295358048,1.8248371403575896,0.4327204447902779,47.4397627916856,1.79371993468085,0.6496062992125984,0.11079722267299438,0.18582677165354328,0,53.93582578381159
35,1000,1.0,0.9797416231279147,0.9009452752603659,0.6011242426777115,47.4397627916856,1.79371993468085,0.6496062992125984,0.11079722267299438,0.18582677165354328,0,53.93582578381159
39,1000,1.0,0.9689330928581867,1.7882517069849466,1.315616566940796,47.4397627916856,1.79371993468085,0.6496062992125984,0.11079722267299438,0.18582677165354328,0,53.93582578381159
