Tahun,Provinsi,u_cluster_0,u_cluster_1,u_cluster_2,label,region_type,n_active_clusters
2020,Jawa Barat,0.47272586899861885,0.0,0.5272741310013812,2,boundary,2
2020,Jawa Tengah,0.46232274046708116,0.0,0.5376772595329188,2,boundary,2
2020,Jawa Timur,0.4500530616846563,0.0,0.5499469383153437,2,boundary,2
2020,Kalimantan Barat,0.466171655714731,0.0,0.5338283442852689,2,boundary,2
2020,Kalimantan Selatan,0.4584157400057538,0.0,0.5415842599942462,2,boundary,2
2020,Kalimantan Tengah,0.4892495122713342,0.0,0.5107504877286658,2,boundary,2
2020,Kalimantan Timur,0.4532559243431788,0.0,0.5467440756568213,2,boundary,2
2020,Kalimantan Utara,0.48282890152264873,0.0,0.5171710984773513,2,boundary,2
2020,Kepulauan Bangka Belitung,0.5148612548057634,0.0,0.4851387451942366,0,boundary,2
2020,Kepulauan Riau,0.5117353379324026,0.0,0.4882646620675974,0,boundary,2
2020,Lampung,0.5540963555719134,0.0,0.4459036444280866,0,boundary,2
2020,Maluku,0.0,1.0,0.0,1,lower,1
2020,Maluku Utara,0.49980419807335796,0.0,0.5001958019266421,2,boundary,2
2020,Nusa Tenggara Barat,0.32476355911652466,0.3714588316731392,0.3037776092103361,1,boundary,3
2020,Nusa Tenggara Timur,0.562276596547545,0.0,0.4377234034524549,0,boundary,2
2020,Papua,0.3395144073183217,0.3578475018184382,0.3026380908632401,1,boundary,3
2020,Papua Barat,0.35059172390904775,0.30779613742847056,0.34161213866248163,0,boundary,3
2020,Riau,0.0,1.0,0.0,1,lower,1
2020,Sulawesi Barat,0.509801874429381,0.0,0.49019812557061904,0,boundary,2
2020,Sulawesi Selatan,0.5157828004107553,0.0,0.48421719958924475,0,boundary,2
2020,Sulawesi Tengah,0.48709561800839124,0.0,0.5129043819916088,2,boundary,2
2020,Sulawesi Tenggara,0.48355704806846184,0.0,0.5164429519315381,2,boundary,2
2020,Sulawesi Utara,0.49839879766804485,0.0,0.5016012023319553,2,boundary,2
2020,Sumatera Barat,0.4575431393609167,0.0,0.5424568606390834,2,boundary,2
2020,Sumatera Selatan,0.44760511351680415,0.0,0.5523948864831958,2,boundary,2
2020,Sumatera Utara,0.4862039434410401,0.0,0.5137960565589599,2,boundary,2
2021,Aceh,0.0,1.0,0.0,1,lower,1
2021,Bali,0.5138847076313551,0.0,0.48611529236864504,0,boundary,2
2021,Banten,0.4937162556497538,0.0,0.5062837443502463,2,boundary,2
2021,Bengkulu,0.5023759746509957,0.0,0.49762402534900435,0,boundary,2
2021,DKI Jakarta,0.49333169463126797,0.0,0.506668305368732,2,boundary,2
2021,Daerah Istimewa Yogyakarta,0.48842020889886467,0.0,0.5115797911011354,2,boundary,2
2021,Gorontalo,0.0,1.0,0.0,1,lower,1
2021,Jambi,0.49742012185043216,0.0,0.5025798781495678,2,boundary,2
2021,Jawa Barat,0.47866319261462953,0.0,0.5213368073853705,2,boundary,2
2021,Jawa Tengah,0.4704933845929127,0.0,0.5295066154070872,2,boundary,2
2021,Jawa Timur,0.4492006688918012,0.0,0.5507993311081989,2,boundary,2
2021,Kalimantan Barat,0.4648903050839827,0.0,0.5351096949160173,2,boundary,2
2021,Kalimantan Selatan,0.4511134514830277,0.0,0.5488865485169723,2,boundary,2
2021,Kalimantan Tengah,0.53745777904856,0.0,0.46254222095144,0,boundary,2
2021,Kalimantan Timur,0.4370095645146661,0.0,0.5629904354853339,2,boundary,2
2021,Kalimantan Utara,0.4883581876339888,0.0,0.5116418123660111,2,boundary,2
2021,Kepulauan Bangka Belitung,0.5194345676923742,0.0,0.4805654323076257,0,boundary,2
2021,Kepulauan Riau,0.5163955040162548,0.0,0.48360449598374516,0,boundary,2
2021,Lampung,0.5433573904132851,0.0,0.4566426095867149,0,boundary,2
2021,Maluku,0.0,1.0,0.0,1,lower,1
2021,Maluku Utara,0.5146259026993933,0.0,0.48537409730060666,0,boundary,2
2021,Nusa Tenggara Barat,0.5171831072375688,0.0,0.4828168927624313,0,boundary,2
2021,Nusa Tenggara Timur,0.5337481144605386,0.0,0.46625188553946145,0,boundary,2
2021,Papua,0.5557862459575643,0.0,0.44421375404243574,0,boundary,2
2021,Papua Barat,0.0,1.0,0.0,1,lower,1
