run,seed,fa_iter,frcm_refine_iter,total_iter_used,total_time_sec,avg_time_per_iter_sec,best_fa_objective,final_refined_objective,n_label_aktif,label_aktif,n_lower_objects,n_boundary_objects,boundary_ratio,min_cluster_size,max_cluster_size,max_cluster_ratio,is_very_imbalanced,n_label_0,n_label_1,n_label_2
12,54,100,16,116,1.6244933999842033,0.014004253448139683,51.54668447776511,49.265599937174564,3,"0,1,2",209,45,0.17716535433070865,25,178,0.7007874015748031,False,178,25,51
13,55,100,22,122,1.5163428999949247,0.012429040163892825,56.910732105509865,55.110605338263234,3,"0,1,2",221,33,0.12992125984251968,14,184,0.7244094488188977,False,184,56,14
14,56,100,11,111,1.4919845999684185,0.013441302702418185,54.71958504779735,52.88679713734268,3,"0,1,2",230,24,0.09448818897637795,24,198,0.7795275590551181,False,198,24,32
15,57,100,110,210,1.9929371000034735,0.009490176666683206,40.60630392583714,37.265477061931364,3,"0,1,2",26,228,0.8976377952755905,32,116,0.4566929133858268,False,32,106,116
16,58,100,20,120,1.44128309993539,0.012010692499461583,61.09336916705873,56.46772819961104,3,"0,1,2",224,30,0.11811023622047244,6,202,0.7952755905511811,False,46,202,6
17,59,100,21,121,1.8643110999837518,0.015407529751931832,44.123118403282575,49.265599937174585,3,"0,1,2",209,45,0.17716535433070865,25,178,0.7007874015748031,False,178,25,51
18,60,100,86,186,1.9875080999918282,0.010685527419310904,31.577108563306425,37.67962256475771,3,"0,1,2",30,224,0.8818897637795275,38,115,0.452755905511811,False,115,38,101
19,61,100,20,120,1.6770796000491828,0.01397566333374319,50.07832535653987,55.12247633304527,3,"0,1,2",224,30,0.11811023622047244,14,178,0.7007874015748031,False,178,14,62
20,62,100,24,124,1.7040065999608487,0.013741988709361682,41.76063320990882,54.239862902120024,3,"0,1,2",221,33,0.12992125984251968,6,187,0.7362204724409449,False,61,187,6
21,63,100,20,120,1.6432615000521764,0.013693845833768137,51.39011984479753,55.12247633304527,3,"0,1,2",224,30,0.11811023622047244,14,178,0.7007874015748031,False,178,14,62
22,64,100,14,114,1.4067017000634223,0.012339488597047565,66.12512522995479,52.83519859531342,3,"0,1,2",228,26,0.10236220472440945,25,194,0.7637795275590551,False,25,35,194
23,65,100,17,117,1.8012696000514552,0.015395466667106455,43.99680683032186,52.67248607508814,3,"0,1,2",181,73,0.2874015748031496,21,130,0.5118110236220472,False,130,103,21
24,66,100,17,117,1.6555290999822319,0.014149821367369503,47.964344943413565,59.193298081196104,3,"0,1,2",220,34,0.13385826771653545,1,191,0.7519685039370079,False,62,191,1
25,67,100,16,116,1.710808900068514,0.014748352586797535,50.10870386041805,49.26559993717457,3,"0,1,2",209,45,0.17716535433070865,25,178,0.7007874015748031,False,178,25,51
26,68,100,80,180,1.8321540999459103,0.01017863388858839,40.60422850757604,37.20307379695285,3,"0,1,2",26,228,0.8976377952755905,32,118,0.4645669291338583,False,104,32,118
27,69,100,89,189,1.9493848000420257,0.01031420529122765,41.38623897381146,37.06032793713677,3,"0,1,2",24,230,0.905511811023622,30,115,0.452755905511811,False,115,109,30
28,70,100,29,129,1.8408703000750393,0.014270312403682475,38.25702260228695,52.67248607508732,3,"0,1,2",181,73,0.2874015748031496,21,130,0.5118110236220472,False,130,21,103
29,71,100,29,129,1.7928443999262527,0.013898018604079477,44.88550824469333,59.1932980811961,3,"0,1,2",220,34,0.13385826771653545,1,191,0.7519685039370079,False,191,62,1
30,72,100,89,189,1.8210992000531405,0.00963544550292667,44.472428080306464,37.265477061977265,3,"0,1,2",26,228,0.8976377952755905,32,116,0.4566929133858268,False,106,116,32
31,73,100,18,118,1.607670999947004,0.013624330508025457,54.28111899775099,55.08700095678489,3,"0,1,2",224,30,0.11811023622047244,14,178,0.7007874015748031,False,62,178,14
32,74,100,15,115,1.756743900012225,0.015276033913149781,47.96346241743291,52.941549171953184,3,"0,1,2",229,25,0.0984251968503937,25,194,0.7637795275590551,False,25,35,194
